car_name,price,mileage_km,fuel,power_kw,transmission,first_registration,seller_type,description,url
Volkswagen Passat Variant 2.0*Klimaautomatik*,€ 600,330000,Benzin,85 kW,Schaltgetriebe,06/2002,Dealer,"Bitte vor Ihrer Anreise einen Termin vereinbaren !! Anfragen unter (+49) 0351/2508910 WhatsApp (+49) 0152/08582284 wir liefern Ihr Fahrzeug bundesweit aus fragen Sie nach unseren Konditionen weitere 600 Fahrzeuge unter www.automobile-dresden.com Alle unsere Fahrzeuge sind Dekra geprüft und haben eine lückenlose Historie! Vor Auslieferung werden unsere Fahrzeuge nochmals auf Herz & Nieren geprüft VW Passat Variant 2.0 Sonderausstattung: Audiosystem Beta (Radio/Cassette) Kindersitze in Rücksitzbank integriert Klimaautomatik Perleffekt-Lackierung Seitenscheiben hinten grün getönt (65 %) Serien-Ausstattung: Airbag Fahrer-/Beifahrerseite Anti-Blockier-System (ABS) Antriebsart: Frontantrieb Außenspiegel elektr. verstell- und heizbar, beide Dachreling Elektron. Stabilitäts-Programm (ESP) Fensterheber elektrisch vorn Fernbedienung für Zentralverriegelung Getriebe 5-Gang Innenraumfilter: Staub- und Pollenfilter Karosserie: 4-türig Kopfstützen hinten Lenksäule (Lenkrad) höhenverstellbar Leuchtweitenregelung elektrisch Mittelarmlehne hinten Motor 2,0 Ltr. - 85 kW Rücksitzbank und/oder Lehne geteilt Seitenairbag vorn Seitenschutzleisten Servolenkung Sitz vorn links höhenverstellbar Sitzbezug / Polsterung: Stoff, Flachgewebe Wegfahrsperre (elektronisch) Zentralverriegelung",https://www.autoscout24.de/angebote/volkswagen-passat-variant-2-0-klimaautomatik-benzin-blau-ddcab1d0-d99a-415d-8f07-45568f00c590
Hyundai iX35 2.0 CRDi 4WD *Navi*AHK*PANO*SZH*Klima*Xenon*Navi*,€ 9.900,126582,Diesel,135 kW,Automatik,02/2014,Dealer,"Auf Grund der hohen Kilometerlaufleistung und alters des Fahrzeug wird dies nur an Gewerbe oder Export verkauft!!!!!! Sonderausstattung: Mica-Lackierung / Mineraleffekt-Lackierung Weitere Ausstattung: Bi-Xenon-Scheinwerfer Volllederausstattung LED-Tagfahrlicht Anhängerkupplung Panoramadach Navigationssystem Multifunktionslenkrad Lenkradheizung Sitzheizung hinten und vorne Freisprecheinrichtung 6 Lautsprecher, Ablagetasche an Vordersitzlehnen, Airbag Beifahrerseite abschaltbar, Airbag Fahrer-/Beifahrerseite, Aktive Kopfstützen vorn, Audiosystem: Radio mit CD-Player (MP3-fähig), Außenspiegel elektr. anklappbar, Außenspiegel elektr. verstell- und heizbar, beide, Außenspiegel lackiert, Außentemperaturanzeige, LED Tagfahrlicht Blinkleuchte in Außenspiegel integriert, Bordcomputer, Bremsassistent, Dachreling, Dachspoiler, Drehzahlmesser, Elektr. Bremskraftverteilung, Fahrassistenz-System: Bergabfahr-Assistent, Fahrassistenz-System: Berganfahrhilfe, Fensterheber elektrisch vorn + hinten, Fernentriegelung Tank und/oder Heckklappe, Frontscheibe mit Wischerablagenheizung, Gepäcknetz im Koffer-/Laderaum, Gepäckraumabdeckung / Rollo, Getränkehalter vorn Gurtstraffer, Handschuhfach mit Kühlfunktion, Heckleuchten LED, Heckscheibe heizbar, Heckscheibenwischer, Heckspoiler mit integrierter Bremsleuchte, Hochtöner, Innenraumfilter: Pollenfilter, Innenspiegel mit Abblendautomatik, Rückfahrmonitor, Isofix-Aufnahmen für Kindersitz, Karosserie: 5-türig, Klimaautomatik, Komfort-Paket, Kopf-Airbag-System, Lendenwirbelstütze Sitz vorn links, verstellbar, Lenksäule (Lenkrad) höhenverstellbar, Leseleuchte, Leuchtweitenregelung, Leuchtweitenregelung automatisch, Licht-aus-Automatik, LM-Felgen 18 Zoll + Winterräder auf Alurädern Mittelarmlehne hinten mit Getränkehalter, Modellpflege, Motor 2,0 Ltr. - 137 kW CRDi KAT, Plus-Paket, Radstand 2640 mm, Reifen-Reparaturkit, Rücksitzlehne geteilt/klappbar, Schadstoffarm nach Abgasnorm Euro 5, Seitenairbag, Seitenaufprallschutz, Sicherheitsgurte vorn höhenverstellbar, Sitz vorn links höhenverstellbar, Sitzbezug / Polsterung: Leder, Sonnenblenden mit Spiegel (beleuchtet), Stoßfänger lackiert, Stoßfänger Wagenfarbe, Traktionskontrolle (TCS), Trend-Paket, Türgriffe außen Wagenfarbe, Türgriffe innen verchromt, USB-Anschluss + AUX-IN-Anschluss, Verglasung getönt Gern kann das Fahrzeug nach vorheriger Terminvereinbarung besichtigt werden. Sie erreichen uns telefonisch unter +4915734567114 oder per Mail unter info@ecxlusive-car-port-gmbh.de Schreiben Sie uns gern über WhatsApp. Für weitere Fragen steht Ihnen unser Verkaufsteam zur Verfügung! Bitte kontaktieren Sie uns, wir freuen uns auf Sie! Unsere Leistungen: Ablöse von bestehenden Fahrzeugkrediten Inzahlungnahme aller Fabrikate An- und Abmeldeservice Professionelle Fahrzeugbewertung Lieferservice Unsere Öffnungszeiten: nach Absprache Da trotz bestehender Kontrollen eine Abweichung des Fahrzeuges von oben stehender Beschreibung nicht ausgeschlossen werden kann, weisen wir darauf hin, dass die Fahrzeugbeschreibung lediglich der allgemeinen Identifizierung des Fahrzeuges dient und keine Gewährleistung im kaufrechtlichen Sinne darstellt. Ausschlaggebend sind einzig und allein die Vereinbarungen in der Auftragsbestätigung oder im Kaufvertrag. Den genauen Ausstattungsumfang erhalten sie von unserem Verkaufspersonal. Gern können Sie uns hierzu kontaktieren.",https://www.autoscout24.de/angebote/hyundai-ix35-2-0-crdi-4wd-navi-ahk-pano-szh-klima-xenon-navi-diesel-schwarz-ab019c1f-8528-409e-b0ce-88802cf5d659
Hyundai TUCSON Tucson FL 1.6 Turbo 7-DCT Trend * wenig KM * Nav,€ 16.980,57867,Benzin,130 kW,Automatik,11/2018,Dealer,"NEUZUGANG Komfort & Interieur: 2-Zonen Klimaautomatik Lederlenkrad mit Multifunktion Sprachbediensystem Bordcomputer 4x el. Fensterheber Keyless Entry & Go Tempomat el Außenspiegel anklappbar Sicht & Licht: Rückfahrkamera Fahrlichtautomatik Regensensor LED-Tagfahrlicht Einparkhilfe Multimedia & Kommunikation: DAB-Radio USB / AUX Bluetooth-Freisprecheinrichtung Lenkradfernbedienung Sicherheit & Umwelt: Airbags ABS/ESP Reifendrucksensor Wegfahrsperre Extras &Sonstiges: Isofix HU/AU bis 12.2026 17"" Leichtmetallfelgen Unsere Öffnungszeiten: Mo-Fr: 09:00 - 18:00 Uhr Sa: 10:00 -14:00 Uhr Zu diesen Zeiten ist unser Büro durchgehend besetzt. Da unsere Mitarbeiter oft Verkaufsgespräche führen, kann nicht jedes Telefonat sofort entgegengenommen werden. Unsere Leistungen: - Finanzierung (auch ohne Anzahlung) - Kreditablösung - Inzahlungnahme Ihres Gebrauchten sowie Wertausgleich www.auto-frosch-dresden.de * ständig über 200 Fahrzeuge im Angebot auf insgesamt 10.000 m2 Freifläche Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Fahrzeuges und stellt keine Gewährleistung oder Zusicherung im kaufrechtlichen Sinne dar. Die Angaben erheben nicht den Anspruch auf Richtigkeit und Vollständigkeit. Bitte prüfen Sie die für Sie relevanten Angaben vor Kauf mit dem Verkäufer im persönlichen oder fernmündlichen Gespräch. Bei Fragen stehen unsere freundlichen Verkaufs-Mitarbeiter Ihnen gerne zur Verfügung und freuen sich auf Ihren Anruf. * Irrtümer und Zwischenverkauf vorbehalten *",https://www.autoscout24.de/angebote/hyundai-tucson-tucson-fl-1-6-turbo-7-dct-trend-wenig-km-nav-benzin-grau-33006efa-6993-468d-96ed-734c8be0b11c
Opel Insignia Edition/AHZV/Navi/2xParkp/NEUE Alllwetter/AGRSitze,€ 5.695,156341,Benzin,103 kW,Schaltgetriebe,11/2008,Dealer,- aus Zeitgründen können leider keine Mails beantwortet werden - - bitte Kontaktieren Sie uns bei Interesse telefonisch - - Tel: 03529-569425 Verkaufsberater: Jens Liebert - Diese Fahrzeug wird aufgrund Fahrzeugalter sowie Kilometerlaufleistung vorzugsweise an Gewerbetreibende unter Ausschluss jeglicher Garantie / Gewährleistung oder Sachmangelhaftung verkauft. ---- als Privatperson kann eine Kaufmöglichkeit erfragt werden -----,https://www.autoscout24.de/angebote/opel-insignia-edition-ahzv-navi-2xparkp-neue-alllwetter-agrsitze-benzin-silber-64812763-8ff1-4091-9313-6eb2c8db80aa
Ford Focus Turnier Business Klimaaut. Alus Sitzheizung Fronts,€ 8.990,62598,Benzin,92 kW,Schaltgetriebe,05/2015,Dealer,"Klima, Klimaautomatik, Sitzheiz. vorn, ESP, ABS, Parktronic System, Multifunktionslenkr., Radio, Bordcomputer, Tempomat, beheizte Frontscheibe, Spiegel beheizbar, elektr. Fensterheber vorn+hinten, elektr. WFS, ZV mit Fernb., Fahrerairb., Beifahrerairb., Seitenairbag vorn, Kopfairbags, Leichtmetallfelgen, Nichtraucher, Nebelscheinw., Servolenkung, Kat., Spoiler, Sitzbank teilbar, Innenraumfilter, Lenksaeule einstellbar, abklappb. Spiegel, elektr. verstellb. Spiegel, Kopfst. vorn, Kopfst. hinten, Gurtstraffer, Gepaeckraumabd., Reserverad, Mittelarmlehne, Lendenwirbelst., Sitzhoehenv., Sitzheizung Fahrer + Beif., Waermeschutzvergl., 12 V Zusatzanschluss, aus erster Hand, Schadstoffklasse: Euro 6, Frontantrieb, Lederlenkrad, Lederschaltknauf, HSN 8566, TSN BET, Verbrauch: 4,8/5,8/4,2  l/100 km (komb/inn/auß), CO2: 113 g/km, Partikelfilter, HU + AU wird vor Verkauf erneuert, Feinstaubplakette: 4 - Grün, Inzahlungnahme und Finanzierung möglich, Irrtum um Zwischenverkauf vorbehalten, Irrtum bei der Eingabe der Ausstattung vorbehalten ... Anti-Blockier-System (ABS) Außenspiegel elektr. verstell- und heizbar Außenspiegel Wagenfarbe Blinkleuchte in Außenspiegel integriert Bordcomputer Business-Paket Vorrüstung Mobiltelefon/Handy mit Bluetooth-/USBSchnittstelle, Fahrassistenz-System: Sicherheitssystem SYNC mit automatischem Notruf, Audio-Navigationssystem Ford SD (mit Ford SYNC), Bluetooth-Schnittstelle, USB-Anschluss, Ford SYNC 2 mit Navigation, Parkpilotsystem hinten Dachspoiler Wagenfarbe Elektr. Bremskraftverteilung Elektron. Stabilitäts-Programm (ESP) Energierückgewinnung (Smart Regenerative Charging) Fahrassistenz-System: Berganfahr-Assistent (Hill-Holder) Fahrassistenz-System: Notbrems-Assistent Fahrzeugschlüssel klappbar Fensterheber elektrisch vorn Fernentriegelung Heckklappe/-Deckel Gepäckraumabdeckung / Rollo Geschwindigkeits-Regelanlage (Tempomat) Geschwindigkeits-Begrenzeranlage Getriebe 6-Gang - Typ: B6 Innenraumfilter: Staub- und Pollenfilter Intelligent Protection System (IPS) Airbag Fahrer-/Beifahrerseite, Kopf-Schulter-Airbag vorn und hinten, Seitenairbag vorn, Gurtstraffer Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Klimaanlage Kopfstützen hinten verstellbar Kopfstützen vorn verstellbar Lendenwirbelstütze Sitz vorn links Lenkrad (Leder 3-Speichen) Lenksäule (Lenkrad) höhen-/längsverstellbar Leseleuchte vorn Leseleuchten im Fond Mittelkonsole mit Armlehne USB-Anschluss Modellpflege Motor 1, 0 Ltr. - 92 kW EcoBoost KAT My Key (2. Fahrzeugschlüssel programmierbar) Nebelscheinwerfer Dimmer Instrumentenbeleuchtung Reifen-Reparaturkit Reifendruck-Kontrollsystem Rußpartikelfilter Rücksitzlehne geteilt/klappbar (60:40) Schadstoffarm nach Abgasnorm Euro 6 Schalt-/Wählhebelgriff Leder Servolenkung elektrisch Sitz vorn links höhenverstellbar Sondermodell Business Sonnenblende links mit Spiegel Sonnenblende rechts mit Spiegel Stahlfelgen 6, 5x16 Start/Stop-Anlage Steckdose (12V-Anschluß) im Koffer-/Laderaum Wegfahrsperre (elektronisch) Zentralverriegelung mit Fernbedienung Zusatzheizung zuzüglich 1000, 00 Euro ( statt 1500, 00 Euro) Zahnriemenwechsel",https://www.autoscout24.de/angebote/ford-focus-turnier-business-klimaaut-alus-sitzheizung-fronts-benzin-schwarz-aa109721-a697-43f2-8ea9-54b0b849e31b
Toyota Aygo X x-play club,€ 10.490,8550,Benzin,53 kW,Schaltgetriebe,03/2020,Dealer,"* Radio: Multimedia-Audiosystem x-touch * Räder: Leichtmetallfelgen 15"""" * Reifendruck-Warnsystem * Paket: x-business * Paket: x-look * Getriebe: 5-Gang-Schaltgetriebe * Klimaanlage * Fensterheber elektrisch vorne * Geschwindigkeitsbegrenzer * Gepäckraumabdeckung * Scheinwerfer: Poly-Ellipsoid-Tech. (PES) * Tagfahrlicht - LED * Wärmeschutzverglasung, getönt * VSC mit TRC * Nebelscheinwerfer integriert * Innenraumleuchte * Berganfahrassistent * Bordcomputer * ABS mit EBD und BA * Dynamisches Bremslicht * Drehzahlmesser * Bremsleuchte, dritte * Brems-Assistent (BA) * Airbag (Kopfairbags) vorn und hinten * Airbag (Seitenairbags) vorn * Airbags: Frontairbags Fahrer / Beifahrer * Anzeige der eingelegten Gangstufe * Außenspiegel elektrisch einstel. u. beh. * Außentemperaturanzeige * Heckscheibe beheizbar * Heckscheibenwischer * Heckschürze mit schwarzem Einsatz * Lederschaltknauf * Lenkrad: Multifunktionslederlenkrad * Polster: Stoff * Reifenreparaturset * Rücksitzlehne geteilt umklappbar * Servolenkung * Sicherheitsgurte * Sitz: Fahrersitz * Sitze: ISOFIX-Kindersitzbef., hinten * Steckdose, 12V, in der Mittelkonsole * Stoßfänger in Wagenfarbe * Türgriffe in Wagenfarbe lackiert * Zentralverriegelung mit Fernbedienung * x-connect",https://www.autoscout24.de/angebote/toyota-aygo-x-x-play-club-benzin-silber-60d0ed77-c9b9-421d-8e38-b0343237552b
Dodge Caliber SE 1.8 Klima / ZV+FB,€ 4.990,81590,Benzin,110 kW,Schaltgetriebe,09/2009,Dealer,"Ihr kompetenter Mobilitätspartner! Mit über 15 Jahren Erfahrung als Familiengeführter Automobilhandel haben wir bereits über 30.000 Menschen zu Ihrem Wunschfahrzeug verholfen! Als einer der größten Händler Deutschlands mit über 500 sofort verfügbaren Fahrzeugen und über 6000 auf Abruf erhältlichen Fahrzeugen können wir unabhängig von der Preispolitik der Hersteller immer den Bestpreis anbieten. Wir haben ein festes Erfolgskonzept, nachhaltig und im Sinne unseres Kunden zu handeln. Ersparnisse von ca.40% gegenüber der UVP sind bei uns häufig möglich. Probefahrten sind auf unserer Hauseigenen Teststrecke möglich! Jederzeit und gerne auch ohne Termin. Bei uns findet jeder Kunde, das für seine Wünsche und Bedürfnisse passende Fahrzeug mit BESTPREISGARANTIE und zumeist SOFORT verfügbar. Zudem bieten wir Höchstpreise bei Gebrauchtwagen. Aufgrund unserer Erfahrung und unserem großen Team sind wir auch bei der Gestaltung der Inzahlungnahme unabhängig von Bewertungsbörsen zur Preisermittlung. Wir zahlen sofort und unkompliziert den Bestpreis für Ihren Altwagen. Wir sind direkter Verkäufer und kein Vermittler, also werden alle unsere Fahrzeuge inkl. Garantie und Gewährleistung verkauft. Unsere Gebrauchtwagen durchlaufen einer gründlichen Prüfung und erhalten nach erfolgreicher Durchsicht ein Zertifikat. Anschlussgarantien sind natürlich möglich. Wir bieten verschiedenste Bezahlmöglichkeiten, Finanzierung, Leasing, Hybridfinanzierung zu unschlagbaren Konditionen (Bonitätsabhängig), Sonderzahlungen sind jederzeit möglich und gerne auch Überbrückungskredite bis Sie das Fahrzeug vollständig zahlen können. Unsere Fahrzeuge kommen inkl. Warndreieck Warnweste und Fußmatten, denn für uns hat Ihr Komfort und Ihre Sicherheit priorität! Aufgrund massiver Kundenanfrage ist es optimal, wenn Sie uns in einer unserer Filialen in Deutschland besuchen kommen, am Besten in unserer Hauptgeschäftsstelle in Köln und lassen Sie sich inspirieren von unseren über 500 sofort verfügbaren Fahrzeugen und genießen Sie eine Markenunabhängige Beratung, losgelöst von der Preispolitik des Hersteller. Wahnsinns Rabatte, Top Inzahlungnahme, lange Garantiezeiten, günstigste Finanzierungen, unser kompetentes junges Team betreut Sie bestens und ist ihnen gerne dabei behilflich mehrere Tausend Euros zu sparen, weil Sie die richtige Entscheidung getroffen haben und uns besucht haben! Wir freuen uns auf Sie! Bilder dienen nur zur Illustration und können Sonderausstattungen zeigen! Zwischenverkauf und Irrtümer für dieses Angebot sind ausdrücklich vorbehalten. Ausschlaggebend sind einzig und allein die Vereinbarungen in der Auftragsbestätigung oder im Kaufvertrag. Den genauen Ausstattungsumfang, die genauen Kilometer und den Verkaufspreis erhalten Sie von unserem Verkaufspersonal. Bitte kontaktieren Sie uns. Sonderausstattung / Extra's Security Alarm Zustand, Aussehen: 2, gut, 5-türig, Reifentyp: Allwetterreifen, Außenspiegel: Außenspiegel beheizbar, Außentemperaturanzeige, Durchlademöglichkeit, Zustand, Fahrfähigkeit: fahrtauglich, Hintertür (Art): Heckklappe, Lenkrad: höhenverstellbar, Sitze: Verstellbarkeit: Höhenverstellbarer Fahrersitz, Innenraumfilter, Zustand, Beschaffenheit: Keine Schäden feststellbar, Laderaumabdeckung, Scheiben, Verglasung: Privacy Glass (Heckscheibe und hintere Seitenscheiben abgedunkelt), Audioanlage: Schnittstelle AUX, Uhr & Drehzahlmesser, Zustand: unfallfrei, Antriebsart: Verbrennungsmotor (ICE) sofort lieferbar Ausstattungen: Innen Fensterheber elektrisch Isofix-Aufnahmen für Kindersitze Klimaanlage Rücksitz geteilt / klappbar Sicherheit & Assistenz Alarmanlage Außen Außenspiegel elektr. verstell- und heizbar Wärmeschutzverglasung Räder & Technik Anti-Blockier-System (ABS) Sonstiges Außentemperaturanzeige Gepäckraumabdeckung / Rollo Handschuhfach mit Kühlfunktion Kopfstützen hinten (3-fach) Kühlergrill Wagenfarbe Lenksäule (Lenkrad) höhenverstellbar Seitenschutzleisten Wagenfarbe Sitz vorn links höhenverstellbar Sitzbezug / Polsterung: Stoff Sitzlehne vorn rechts klappbar Stoßfänger Wagenfarbe",https://www.autoscout24.de/angebote/dodge-caliber-se-1-8-klima-zv-fb-benzin-schwarz-f7dcfd9b-a357-4d7f-9016-f38490cb791d
Kia XCeed 1.5 T-GDI Silber*Navi*Kamera*Tempomat*,€ 15.980,63273,Benzin,118 kW,Schaltgetriebe,12/2021,Dealer,"Bitte vor Ihrer Anreise einen Termin vereinbaren !! Anfragen unter (+49) 0351/2508910 WhatsApp (+49) 0152/08582284 wir liefern Ihr Fahrzeug bundesweit aus fragen Sie nach unseren Konditionen weitere 600 Fahrzeuge unter www.automobile-dresden.com Alle unsere Fahrzeuge sind Dekra geprüft und haben eine lückenlose Historie! Vor Auslieferung werden unsere Fahrzeuge nochmals auf Herz & Nieren geprüft Kia XCeed Sonderausstattung: 10,25'' Navigationssystem, Online-Dienste Kia Connect Lenkrad (Leder) Schalt-/Wählhebelgriff Leder Sensor Scheibenbeschlagerkennung Klimaanlage, automatisch aktiver Spurhalteassistent (LKAS, Lane Keep Assist System) Geschwindigkeits-Regelanlage (Tempomat) Frontkollisionswarnung Sitzheizung vorn Lenkrad heizbar Rückfahrkamera Parksensoren hinten Regensensor Innenrückspiegel, selbstabblendend (elektrochromatisch) Bi-LED-Scheinwerfer Nebelscheinwerfer LED Serienausstattung: 6 Lautsprecher Airbag Fahrer-/Beifahrerseite Alarmanlage Anti-Blockier-System (ABS) Audiosystem: Radio mit RDS / MP3 inkl. TFT-Display Außenspiegel elektr. verstellbar, beide Bordcomputer Bremsassistent Dachreling Dachspoiler Einschaltautomatik für Fahrlicht Elektr. Bremskraftverteilung Elektron. Stabilitäts-Programm (ESP / ESC) Berganfahr-Assistent Müdigkeitserkennungs-Sensor (Driver Attention Warning, DAW) Fensterheber elektrisch vorn + hinten Freisprecheinrichtung Bluetooth Getriebe 6-Gang Getränkehalter Heckscheibe heizbar Isofix-Aufnahmen für Kindersitz Karosserie: 5-türig Kopf-Airbag-System Kopfstützen hinten verstellbar Kopfstützen vorn verstellbar Luftausströmer im Fond mitte Mittelarmlehne hinten mit Getränkehalter Mittelarmlehne vorn Multifunktion für Lenkrad Reifendruck-Kontrollsystem Schadstoffarm nach Abgasnorm Euro 6d-TEMP Seitenairbag Servolenkung elektronisch gesteuert Sitz vorn links höhenverstellbar Steckdose (12V-Anschluß) in Mittelkonsole Stoßfänger Wagenfarbe Tagfahrlicht LED USB-Anschluss + AUX-IN-Anschluss Warnanlage für Sicherheitsgurte hinten Warnanlage für Sicherheitsgurte, Fahrer-/Beifahrerseite Wegfahrsperre Wärmeschutzverglasung Zentralverriegelung mit Fernbedienung",https://www.autoscout24.de/angebote/kia-xceed-1-5-t-gdi-silber-navi-kamera-tempomat-benzin-rot-197b64ff-7765-455b-b33a-a450f30eecdb
Volkswagen Golf VI Trendline,€ 5.799,161000,Diesel,77 kW,Schaltgetriebe,03/2011,Dealer,"Sonderausstattung: Audiosystem RCD 210 MP3 (Radio/CD-Player, 4 Lautsprecher), Fensterheber elektrisch vorn und hinten, Klimaanlage Climatronic 2-Zonen, Metallic-Lackierung, Raucher-Paket Weitere Ausstattung: 3-Punkt-Sicherheitsgurt hinten mitte, Ablagefach am Dachhimmel, Airbag Beifahrerseite abschaltbar, Airbag Fahrer-/Beifahrerseite, Außenspiegel asphärisch, links, Außenspiegel elektr. verstell- und heizbar, Außenspiegel lackiert, Blinkleuchte in Außenspiegel integriert, Bremsassistent, Doppeltonhorn, Elektron. Differentialsperre (EDS), Fahrassistenz-System: Berganfahr-Assistent, Frontscheibe Verbundglas getönt, Gepäckraumabdeckung / Rollo, Gepäckraumbeleuchtung, Handschuhfach mit Kühlfunktion, Heckscheibenwischer, Innenausstattung: Titan-Dekor, Innenraumfilter: Staub- und Pollenfilter, Innenspiegel abblendbar, Isofix-Aufnahmen für Kindersitz an Rücksitz, Karosserie: 4-türig, Knieairbag Fahrerseite, Kopfstützen hinten (3-fach), Lenkrad (3 Speichen), Lenksäule (Lenkrad) mechan. verstellbar, Höhen-/Längsverstellung, Leseleuchte, Motor 1,6 Ltr. - 77 kW TDI DPF, Multifunktionsanzeige / Bordcomputer, Nebelschlussleuchte, Reifen-Reparaturkit (Tire Mobility Set), Rücksitz geteilt / klappbar, Schadstoffarm nach Abgasnorm Euro 5, Scheibenwischer mit Intervallschaltung, regulierbar, Seitenairbag vorn mit Kopf-Airbag-Einheit, Sicherheitsgurte vorn mit Gurtstraffer, höhenverstellbar, Sitz vorn links höhenverstellbar, Sitzbezug / Polsterung: Stoff, Sonnenblende links mit Spiegel, Sonnenblende rechts mit Spiegel, Stahlfelgen 6x15, Türgriffe außen Wagenfarbe, Verbandkasten und Warndreieck, Warnanlage für Sicherheitsgurte vorn, Wärmeschutzverglasung grün getönt (seitlich / hinten)",https://www.autoscout24.de/angebote/volkswagen-golf-vi-trendline-diesel-silber-ca7f1eac-ecab-4237-a5f2-6628892112d7
Audi Q5 2.0TDI QUATTRO BIXEN#TEMPO#KLIMA#PDC#AHK#ALU,€ 14.999,145184,Diesel,130 kW,Schaltgetriebe,04/2013,Dealer,"Werte Kunden und Kundinnen, wir bieten für unsere Kunden Videotelefonie und den Transport bis vor die Tür. Wir möchten Ihnen die Fahrzeuge so transparent als möglich vorstellen. Scheuen Sie sich nicht, uns zu kontaktieren und alle Fragen loszuwerden, die Ihnen auf dem Herzen liegen. Um das Ganze abzurunden, können wir Ihnen ein unabhängiges Gutachten vom TÜV-SÜD fertigen. Antriebssicherheit, stilvolle Form und Reiselust in perfekter Harmonie - unser Audi Q5 2.0TDI Quattro. Freuen Sie sich auf Allradantrieb, Einparkhilfe, Bi-Xenonscheinwerfer, Tempomat, Klimaautomatik, Lederausstattung, AHK abnehmbar und weitere Extras. AUFGRUND VON BAUJAHR UND KILOMTERLAUFLEISTUNG WIRD DAS FAHRZEUG VORZUGSWEISE AN GEWERBETREIBENDE ODER EXPORTKUNDEN VERKAUFT IHR FAHRZEUG BEI YOUTUBE: https://youtu.be/WxB61FFcnpg INTERNE FAHRZEUGNUMMER: AL-0084 HIGHLIGHTS: AHK Abnehmbar Soundsystem mit 8 Lautsprechern Freisprecheinrichtung Fernlichtassistent (Light Assist) Licht-/Regensensor Innenspiegel automatisch abblendbar Tempomat Alarmanlage Einparkhilfe hinten Zentralverriegelung mit Funk Coming-Home-/ Leaving-Home-Funktion Außenspiegel elektrisch verstellbar, anklappbar und beheizbar Lederausstattung schwarz Sportkomfortsitze mit Sitzheizung für Fahrer und Beifahrer Dekorleisten Aluminium Chromleistenpaket außen Multifunktionslenkrad in schwarzem Leder Winterpaket Abgedunkelte Scheiben im Fond Dachreling Heckscheibe beheizbar Partikelfilter Euro 5 Perleffekt Automatisches Sperrdifferential LED-Tagfahrlicht Bi-Xenonscheinwerfer Nebelscheinwerfer Scheckheft/ Carpass vorhanden- diverse Rechnungen anbei Garantie bei Überweisung optional erhältlich- bei Finanzierung in der monatlichen Rate bis 5 JAHRE enthalten Nichtraucherfahrzeug LED-Rückleuchten MULTIMEDIA UND KOMMUNIKATION: Bordcomputer mit Multifunktionsanzeige Radio CD-Player Telefonablage Bluetooth Navigationsvorbereitung Sprachsteuerung AUX-In SICHERHEIT: ABS ESP Stabilitätskontrolle ASC (Traktionskontrolle) ASR (Antriebsschlupfregelung) Servolenkung Allradantrieb Start-/Stopp-Automatik Müdigkeitswarner Elektrische Wegfahrsperre Parkbremse elektrisch 6 Airbags Fahrer Airbag Beifahrer-Airbag Seiten-Airbags Kopf-Airbags INNENAUSSTATTUNG UND KOMFORT: Elektrische Fensterheber vorne und hinten Vordersitze höhenverstellbar Mittelarmlehne in schwarzem Leder Kindersitzvorbereitung (ISOFIX) Rücksitzbank teilbar Rücksitzbank verschiebbar 5 Kopfstützen Innenraumfilter Lederschalthebel Lenkrad höhenverstellbar Klimaautomatik Uhr & Drehzahlmesser EXTRAS: Colorverglasung Heckklappe Gepäckraumabdeckung Durchlademöglichkeit Doppelter Laderaumboden LM-Felgen 19'' mit Nexen Winterreifen und ca. 5mm Profiltiefe Notrad Reifendruckkontrolle Scheinwerferreinigungsanlage Dachträger optional erhältlich Für weitere Fragen steht Ihnen unser Verkaufsteam gern telefonisch zur Verfügung. Unser Leistungsumfang: Homepage - www.autoladen-dresden.de Finanzierung zu TOP-Konditionen, auch OHNE Anzahlung Eigener Werkstattservice Professioneller Aufbereitungsservice Bestellung von Kurzzeitkennzeichen zur Überführung Ihres bei uns neu gekauften PKW Anlieferung gegen Aufpreis möglich Bundesweite Zulassung Zusatzbereifung zu günstigen Konditionen Probefahrt nach Vereinbarung möglich Die Fahrzeugbeschreibung dient lediglich der allgemeinen Identifizierung des Fahrezuges und stellt keine Gewährleistung im kaufrechtlichen S",https://www.autoscout24.de/angebote/audi-q5-2-0tdi-quattro-bixen-tempo-klima-pdc-ahk-alu-diesel-schwarz-8a87ce55-2338-4975-9e9a-22523eaf7a30
