url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/ford-puma-1-0-ecoboost-hybrid-125-cv-s-s-titaniu-bologna-592517010.htm,FORD Puma 1.0 EcoBoost Hybrid 125 CV S&S Titaniu,16.900 €,01/2022,45946 Km,Ibrida,Manuale,Euro 6,SUV/Fuoristrada,"Chilometraggio: 45946
Condizioni: usato
Immatricolazione: 01/2022
Tipologia: Fuoristrada
Carburante: Elettrica/Benzina
Tipo di cambio: Manuale

ABS, Airbag, Airbag laterali, Airbag Passeggero, Airbag testa, Alzacristalli elettrici, Autoradio digitale, Bluetooth con comandi vocali, Bracciolo, Cerchi in lega, Chiusura centralizzata, Climatizzatore, Controllo elettronico della corsia, Controllo trazione, Cruise Control, ESP, Fari LED, Fendinebbia, Frenata d'emergenza assistita, Immobilizzatore elettronico, Limitatore di velocità, Riconoscimento dei segnali stradali, Sensore di luce, Sensore di pioggia, Sensori di parcheggio posteriori, Sensori di parcheggio posteriori, Servosterzo, Sistema di navigazione, Sistema di navigazione satellitare touch screen, Specchietti laterali elettrici, Specchi laterali elettrici e ripiegabili elettricamente, Telecamera posteriore

CARATTERISTICHE INDIVIDUALI:
UNICO PROPRIETARIO
REGOLARMENTE TAGLIANDATA
NORMATIVA INQUINAMENTO EURO 6D-ISC-FCM
IN GARANZIA UFFICIALE FORD VALIDA IN TUTTA EUROPA FINO A 31/01/2029
LUNGHEZZA VEICOLO 4207 MM
PASSAGGIO DI PROPRIETA' NON COMPRESO

CERTIFICAZIONE DA OFFICINA:
La vettura è stata controllata scrupolosamente dal nostro Tecnico Master.
La verifica prevede una prova strumentale, seguita da una prova su strada.
In entrambe l'esito è stato positivo, pertanto si può considerare quest'auto come usato DOCHQ.

GARANZIA DI PULIZIA ED IGIENIZZAZIONE:
E' nostra premura effettuare un accurato lavaggio interno per rendere l'abitacolo pulito e soprattutto igienizzato, grazie all' uso di una macchina lavatrice che combina vapore con prodotti battericida specifici 

GARANZIA DI ESECUZIONE TAGLIANDO DI MANUTENZIONE:
Alla consegna della vettura vi verrà esibito il documento che riporta la manutenzione eseguita.

GARANZIA GUASTI:
La vettura è corredata di estensione contrattuale della garanzia ufficiale FORD 
FORDPROTECT 7 anni / 105000 km valida fino al 31/01/2029.

VETTURA FINANZIABILE:"
https://www.subito.it/auto/volkswagen-polo-1-0-tsi-dsg-life-bologna-583591059.htm,Volkswagen Polo 1.0 TSI DSG Life,21.900 €,05/2024,9093 Km,Benzina,Sequenziale,Euro 6,Berlina,"DEK:[8995059]
VW USATO CERTIFICATO è il programma Usato della Rete Volkswagen.
Tutte le vetture sono sottoposte a 110 scrupolosi controlli per assicurare una verifica accurata di ogni singolo componente. 

Scegli l'opzione di acquisto Progetto Valore Volkswagen che include la garanzia fino a 36 mesi e l'assistenza stradale.
Inoltre, hai la massima flessibilità e libertà perché puoi scegliere:
- la durata del finanziamento 24 o 36 mesi
- l'anticipo - da 0% fino al 35%
- il chilometraggio annuo in base al reale utilizzo della vettura

Al termine del programma potrai decidere se tenere l'auto, pagando il Valore Futuro Garantito residuo, restituirla o sostituirla con un'altra Volkswagen.

Soverini S.p.A. declina ogni responsabilità per eventuali imprecisioni o errori nella descrizione degli accessori e degli equipaggiamenti indicati."
https://www.subito.it/auto/ford-tourneo-connect-bologna-604146470.htm,FORD Tourneo Connect,29.900 €,12/2022,46497 Km,Diesel,Manuale,Euro 6,Altro,"FORD Gran Tourneo Connect V761 2.0 ecoblue 122cv AWD Active color Azzurro Metallizzato del 2022.
La vettura è alimentata a Gasolio e ha un cambio Manuale.
* UBICAZIONE BOLOGNA, VIA STENDHAL 23 *

UN ANNO DI GARANZIA, VALIDA IN TUTTA EUROPA.
FINANZIABILE, ANCHE SENZA ANTICIPO.
POSSIBILITA' POLIZZA FURTO ED INCENDIO.
OK PERMUTE.

Il presente annuncio potrebbe non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali.
Ci scusiamo per l'eventuale inconveniente,
vi invitiamo a verificare in sede le caratteristiche specifiche.
Si declina ogni responsabilità per eventuali ed involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale."
https://www.subito.it/auto/mercedes-benz-v-250-d-automatic-4matic-exclusive-bologna-587512213.htm,MERCEDES-BENZ V 250 d Automatic 4Matic Exclusive,43.200 €,04/2017,158231 Km,Diesel,Automatico,Euro 6,Monovolume,"Disponibile in pronta consegna Mercedes-Benz V 250 d Automatic 4Matic Exclusive Long

Tagliandata sempre in Mercedes 
Unico proprietario 
Trazione integrale

8 posti 
Interni in pelle 
Tetto panoramico ed apribile 

Porte posteriori e portellone elettrici 
Navigatore 
Sedili anteriori riscaldabili 

Microfono interno per parlare nell'abitacolo 
Sensori anteriori e posteriori di ausilio al parcheggio 
Vetri privacy 

Ottime condizioni 
Buon chilometraggio 
Vettura usata solo da noi 

Cambio automatico 
Sedili ventilati 
Ruota di scorta 

E molto altro! 

Al prezzo indicato andrà successivamente aggiunto il costo del passaggio di proprietà, è possibile accedere a diversi servizi forniti da noi per qualsiasi tipo di esigenza:

- Finanziamenti a tassi agevolati;
- Assicurazione Furto & Incendio;
- Assicurazione RCA.

RIFERIMENTI:


Lorenzo Catti: Mostra numero email: lorenzo@autoimmagine.biz


Massimiliano Lelli: Mostra numero email: massimiliano@autoimmagine.biz



Nicolò Lelli: Mostra numero email: nicolo@autoimmagine.biz


Vieni a scoprire la vettura presso il nostro autosalone in via Ca Ricchi 6 a San Lazzaro di Savena (di fianco al concessionario VOLVO e di dirimpetto al Ristorante Il Galeone), Bologna.

Siamo aperti dal lunedì al venerdì dalle 09:00 alle 13:00 e dalle 15:00 alle 19:30; il sabato dalle 09:00 alle 13:00 e dalle 15:00 alle 19:00; la domenica dalle 10:30 alle 12:30.

Segui Autoimmagine sui Social Network Aziendali 
Attenzione:

Nonostante il nostro costante impegno e precisione in fase di inserimento degli annunci. La descrizione dei veicoli potrebbe talvolta non risultare perfetta, o con qualche incongruenza.

Decliniamo ogni responsabilità per eventuali contraddizioni rispetto alla descrizione dell'annuncio. 

Per maggiori informazioni, siamo sempre a disposizione"
https://www.subito.it/auto/ford-kuga-1-5-ecoblue-st-line-2wd-120cv-auto-bologna-594843173.htm,FORD Kuga 1.5 ecoblue ST-Line 2wd 120cv auto,24.900 €,10/2021,52501 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"FORD Kuga 1.5 ecoblue ST-Line 2wd 120cv auto color Grigio Metallizzato del 2021.
La vettura è alimentata a Gasolio e ha un cambio Automatico.
* UBICAZIONE BOLOGNA, VIA STENDHAL 23 *

UN ANNO DI GARANZIA, VALIDA IN TUTTA EUROPA.
FINANZIABILE, ANCHE SENZA ANTICIPO.
POSSIBILITA' POLIZZA FURTO ED INCENDIO.
OK PERMUTE.

Il presente annuncio potrebbe non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali.
Ci scusiamo per l'eventuale inconveniente,
vi invitiamo a verificare in sede le caratteristiche specifiche.
Si declina ogni responsabilità per eventuali ed involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale."
https://www.subito.it/auto/fiat-panda-4x4-piacenza-604775923.htm,Fiat panda 4x4,1.750 €,03/1988,120000 Km,Benzina,Manuale,Pre-Euro,Utilitaria,Vendo panda 4x4 con impianto a gas motore cambio e meccanica buona in attesa di essere demolita se interessati vendo i
https://www.subito.it/auto/opel-zafira-benzina-1-6-comfort-parma-604775792.htm,OPEL Zafira benzina 1.6 - Comfort,850 €,09/2001,248000 Km,Benzina,Manuale,Euro 4,Monovolume,"Vendo Opel Zafira 1.6 benzina, anno 2001 con 248.000km, con gomme e batteria in buono stato; solo qualche piccola ammaccatura della carozzeria; macchina in buone condizioni usata per lavoro nn c'è bisogno di fare nulla vendo per cambio auto prezzo 850 Euro trattabili - astenersi perditempo ed affaristi"
https://www.subito.it/auto/bmw-z4-2-0i-cat-roadster-12-2007-reggio-emilia-596628652.htm,Bmw Z4 2.0i cat Roadster 12/2007,15.999 €,12/2007,104000 Km,Benzina,Manuale,Euro 4,Cabrio,"La nostra rivendita fa parte della Community di rivenditori ""NON PRENDERMI PER IL CHILOMETRO"",fondata da Alfredo Bellucci.
I rivenditori che aderiscono a ""NON PRENDERMI PER IL CHILOMETRO"" non scalano i chilometri ai propri veicoli, si limpegnano a lavorare correttamente e nel pieno rispetto del codice del consumo.

L'autovettura verrà consegnata con garanzia 12 mesi MAPFRE con possibilità di estenderla 24/36/48/60 mesi

IMPORTO INTERAMENTE FINANZIABILE CON TASSI VANTAGGIOSI 

Sconto rottamazione 300€

Bmw Z4 2.0i cat Roadster 12/2007
Ottime condizioni generali
Tutti tagliandi certificati
Unico proprietario 
Pneumatici 90%
Presenta i seguenti accessori 

Luci diurne 
Fari bixenon
Fendinebbia 
Sensori luci
Sensori pioggia
Cruise control
Specchietti elettrici 
Vetri elettrici
Computer di bordo 
Comandi al volante  
Comandi vocali  
Usb
Aux
Radio cd
Clima Automatico
Chiusura centralizzata
Doppie chiavi

No perditempo ne affaristi 
Il prezzo con la permuta cambia alla quotazione di mercato"
https://www.subito.it/auto/audi-a4-avant-40tdi-mhev-stronic-s-line-acc-tetto-rimini-603837063.htm,Audi A4 AVANT 40TDI MHEV STRONIC S LINE ACC TETTO,38.800 €,06/2024,10000 Km,Ibrida,Automatico,Euro 6,Station Wagon,"AUDI A4 AVANT 40TDI (2.0 DIESEL) MHEV S TRONIC S LINE
 IMMATRICOLATA 06/2024
 KM: 11.764 (TAGLIANDATI E CERTIFICATI AUDI)
COLORE ESTERNO: NERO MYTHOS MET.
INTERNO: NERO 

EQUIPAGGIAMENTO:

MILD-HYBRID
CAMBIO AUTOMATICO S TRONIC
TETTO PANORAMICO APRIBILE
ACC (ADAPTIVE CRUISE CONTROL)
FARI LED 
AUDI VIRTUAL COCKPIT PLUS
NAVIGATORE MMI PLUS CON MMI TOUCH
SENSORI DI PARCHEGGIO ANTERIORI + POSTERIORI
AUDI DRIVE SELECT
SEDILI ANTERIORI SPORTIVI, RISCALDABILI E MASSAGGIANTI
CLIMATIZZATORE COMFORT 3 ZONE
SPECCHIETTI ESTERNI REGOLABILI E RISCALDABILI ELETTRICAMENTE
RICARICA WIRELESS PER SMARTPHONE
PORTELLONE POSTERIORE ELETTRICO
VOLANTE IN PELLE MULTIFUNZIONALE PLUS

PREZZO COMPRENSIVO DI IVA AL 22%


 .Contattaci su WhatsApp al 349*3655681 per ricevere foto, video, lista accessori auto

 .Videochiamata per acquistare l'auto a distanza

 .N. Tel. 0541*612284 / N.Cell. : 349*3655681

 .Il Vostro usato lo ritiriamo / permutiamo alle migliori quotazioni di mercato.

.Gli importi sono parzialmente o interamente finanziabili con comode rate mensili (SERVIZIO FACOLTATIVO NON OBBLIGATORIO).

 .Km auto certificati dal produttore.

 .Le auto pubblicate sono visibili e disponibili presso la Nostra sede.

 .Tutte le auto sono tagliandate, igienizzate e controllate da personale specializzato, nessun dettaglio nella preparazione viene trascurato.

 .I veicoli sono garantiti da 12 a 48 mesi.

 .Passaggio di proprietà a carico dell'acquirente.

 .Nonostante la nostra accurata attenzione nella pubblicazione dei veicoli potrebbero verificarsi difformità causate dai caricamenti automatici dei vari portali Web, invitiamo gli interessati a verificare con il Nostro addetto alle vendite disponibilità ed equipaggiamento dell'auto interessata"
https://www.subito.it/auto/bmw-520-520d-aut-touring-luxury-bologna-596403348.htm,Bmw 520 520d aut. Touring Luxury,17.900 €,05/2019,219000 Km,Diesel,Automatico,Euro 6,Station Wagon,"TUTTE LE NOSTRE AUTO SONO IN PERFETTE CONDIZIONI, TAGLIANDI CERTIFICATI

DISPONIBILITA DI AUTO

POSSIBILITA DI FINANZIAMENTI E LEASING

POSSIBILITA DI PERMUTARE IL VOSTRO USATO DOPO VISIONE E PROVA

IL COSTO DEL PASSAGGIO DI PROPRIETA E DA PARTE

VISIONE AUTO E PROVA SOLO SUL APPUNTAMENTO"
