title,image_url,datePublished,year,mileage,fuel_type,engine_power,transmission,num_previous_owners,condition,color,emission_standard,first_registration_date,body_type
Auto,,,,,,,,,,,,,
FIAT Grande Punto - 2006,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/7d/7d841be4-abd2-4c7f-b865-573b4a75a736?rule=gallery-desktop-2x-auto,2025-06-04T15:06:10,2006,195.000 circa,Benzina,,,,,,,,
Land Rover Range Rover Velar Range Rover Velar 2.0,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/0f/0f7853d3-dfa0-4605-893e-29f5894cdf71?rule=gallery-desktop-2x-auto,2025-06-04T15:06:09,2020,,BENZINA,,AUTOMATICO ( 8 Rapporti),,,,,,
FORD Fiesta 3ª serie - 2003,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/3c/3ce7fada-7aa3-4b39-8c75-22989175cd89?rule=gallery-desktop-2x-auto,2025-06-04T15:06:07,,,,,,,,,,,
Peugeot 3008 BlueHDi 130 S&amp;S Allure Pack,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/49/49c9472f-29ce-4bc2-95e7-2758cf08d336?rule=gallery-desktop-2x-auto,2025-06-04T15:06:07,,,,,,,,,,,
VOLVO XC40 1.5 Core T2 - 129 - 2024,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/7a/7a8f16f2-781a-4e6f-bd07-e6e02455d1f3?rule=gallery-desktop-2x-auto,2025-06-04T15:06:07,,,,,,,,,,,
Renault Clio 1.2 16V 5 porte Dynamique,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/8e/8e1f6d6f-333c-4541-ab2a-80c678924ca6?rule=gallery-desktop-2x-auto,2025-06-04T15:06:06,,,,,,,usato,,,,
AUDI Q3 SPORTBEAK 35 TDI 150 HP,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/2f/2f934107-1405-416b-b403-dd20086f7604?rule=gallery-desktop-2x-auto,2025-06-04T15:06:06,,,,,,,,,,,
Fiat Punto Evo Punto Evo 1.2 5 porte Dynamic,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/11/1151fd33-8202-4e1f-b34e-2028ec9ecdcb?rule=gallery-desktop-2x-auto,2025-06-04T15:06:06,,,,,,,usato,,,,
Fiat 500 1.0 Hybrid Dolcevita,https://images.sbito.it/api/v1/sbt-ads-images-pro/images/df/df0dddb2-ef9d-46dc-87e6-81371da09ebb?rule=gallery-desktop-2x-auto,2025-06-04T15:06:06,,,,,,,,,,,
