url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/peugeot-3008-bluehdi-130-s-s-allure-pack-aosta-604738791.htm,Peugeot 3008 BlueHDi 130 S&S Allure Pack,19.900 €,05/2021,80200 Km,Diesel,Manuale,- (Emissioni),SUV/Fuoristrada,"ABS, ESP, REF e AFU (con Hill Assist), Accensione automatica luci di emergenza in caso di forte decelerazione, Airbag conducente e passeggero (con disattivazione a chiave), laterali doppi + a tendina (due), Alzacristalli ant./post. elettrici antipizzicamento, comando sequenziale, Ambient LED Pack, Barre al tetto in alluminio, Decori plancia di bordo e pannelli delle porte in tessuto trama ""Brumeo"" (o ""Texa""), Fari posteriori Full LED 3D, Fissaggi ISOFIX seggiolino bambini (1 anteriore passeggero, 2 posteriori laterali), Freno di stazionamento elettrico e Hill Assist, Indicatore perdita di pressione pneumatici, Interni in Misto TEP/tessuto Colyn Mistral, Kit di riparazione pneumatici, Mascherina anteriore senza cornice, Pack safety plus, Pack Visibilità, Pedaliera sportiva in alluminio, Peugeot Connect SOS & Assistance, Prese 12V (x3), Profili finestrini cromati, Profili vetratura neri, Sedile conducente con regolazione lombare, Sedile passeggero ripiegabile in avanti, Sensori di parcheggio anteriori, Specchietti di cortesia con illuminazione a LED, Time Drive Control, Touchscreen capacitivo da 10"" HD Connected Navigation con servizio Speedcam, Vetri posteriori e lunotto oscurati, Volante multifunzione in pelle pieno fiore, Lane Departure Warning, Appoggiagomiti centrale anteriore con vano portaoggetti, Cambio manuale a 6 marce, Cerchi in lega 18"" Detroit Grigio Storm, Chiusura centralizzata con telecomando, Climatizzatore automatico bi-zona con aeratori posteriori, Mirror screen (Apple CarPlay, Android Auto), Regolatore e limitatore di velocità programmabile, Fari DRL LED ad artiglio con estremità inferiore cromata, Active Safety Brake (con distance alert), Peugeot I-Cockpit con Head-up Digital Display 12, 3"", Keyless Access & Start, Cinture di sic. ant./post. con pretensionatore, limit. di sforzo, reg. in altezza, 3 punti ancorag., Radio DAB, Retrovisori esterni riscaldabili e regolabili elettricamente, Retrovisori richiudibili elettricamente con illuminazio"
https://www.subito.it/auto/mercede-c220-aosta-604721287.htm,Mercede c220,14.000 €,05/2013,250000 Km,Diesel,Automatico,Euro 5,Berlina,"Vendo bellissima mercedes c220 tenuta benissimo dentro come nuova non fumatore 
Prezzo trattabile solo gente interessata"
https://www.subito.it/auto/ford-mondeo-ghia-station-vagon-aosta-604440672.htm,Ford mondeo ghia station vagon,900 €,09/2006,247000 Km,Diesel,Manuale,Euro 1,Station Wagon,"Vendo Ford mondeo con formula vista e piaciuta .
2000 cc anno 2006 interni in pelle incidentata sx davanti e sx dietro come da foto . Trasmissione motore a catena 
Km 247000 diesel"
https://www.subito.it/auto/subaru-impreza-xv-aosta-604715938.htm,Subaru Impreza XV,8.000 €,01/2011,166000 Km,Diesel,Manuale,- (Emissioni),- (Tipologia),"In vendita: Subaru Impreza 2.0 da 150 CV - Anno 2011.

Vendo Subaru Impreza con motore 2.0 da 150 CV, perfetta per chi cerca un'auto grintosa e con consumi ridotti. Trazione integrale permanente Subaru, ottima tenuta di strada in ogni condizione. Ideale sia per l'uso quotidiano o per macinare chilometri. Carrozzeria in buono stato, a parte il paraurti davanti che purtroppo è da sistemare, sempre tagliandata ogni 10.000 km, ho cambiato da poco braccetti anteriori e pastiglie anteriori e posteriori. Do assieme all'auto 4 cerchi in lega con gomme invernali. I cerchioni oro sono gli originali della prima serie, introvabili e dal valore di oltre 500 euro.

Contattami per info o per venire a vederla di persona!"
https://www.subito.it/auto/fiat-grande-punto-dynamic-1-4-16v-starjet-aosta-589729000.htm,Fiat Grande Punto Dynamic 1.4 16v Starjet,6.300 €,01/2008,57200 Km,Benzina,Manuale,- (Emissioni),- (Tipologia),Ottime condizioni pari al nuovo sempre tenuta in garage 6 marce scadenza revisione Marzo 2026 scadenza bollo 12 2025
https://www.subito.it/auto/porsche-macan-3-0-gts-aosta-604720645.htm,PORSCHE Macan 3.0 GTS,42.000 €,07/2017,160000 Km,Benzina,Automatico,- (Emissioni),Station Wagon,"PERIZIA DELL'ESPERTO PRIVACAR: Belissima PORSCHE Macan GTS 3.0 V6 benzina da 360cv, tutti i tagliandata ufficiali documentati Porsche. Auto in perfette condizioni di carrozzeria ed interni, modello My17 con aggiornamento della parte posteriore al modello restyling. Auto veramente Full optional, difficile da trovare (mancano solo i freni carboceramici), Tra gli accessori particolari troviamo: le sospensioni pneumatiche regolabili autolivellanti (PASM), tetto panoramico apribile, scarico akrapovic, adaptive cruise control, sedili sportivi in pelle con cuciture rosse regolabili elettricamente con memorie riscaldati e ventilati, telecamere 360°, impianto Bose, apple car play e android auto, volante riscaldato, cerchi da 21, pacchetto Sport Chrono, navigatore, portellone elettrico, climatizzatore automatico bi-zona, gancio traino e moltissimo altro ancora...

FOTO E VIDEO: Tutte le informazioni riguardo allo stato della carrozzeria con più di 50 foto in alta definizione e il video Youtube sono visibili sul sito Privacar.com

MANUTENZIONE: Le informazioni riguardo l'ultimo tagliando, la storia delle manutenzioni e le informazioni generali di meccanica di questo veicolo sono visibili sul sito Privacar.com

DOCUMENTAZIONE: Tutte le informazioni riguardo la documentazione dell'auto come libretto, bollo, revisione, proprietari e altro sono visibili sul sito Privacar.com 

PRV:(55508)"
https://www.subito.it/auto/giotti-victoria-gladiator-doppia-cabina-4-posti-aosta-553897483.htm,Giotti Victoria Gladiator doppia cabina 4 posti,19.290 €,- (Mese/Anno),,Benzina,Manuale,Euro 6,Altro,"Giotti Victoria
top 28 4 porte , 4 posti autocarro
motore 1500 da 100 cv benzina
portata oltre 930 kg circa
servosterzo doppio air bags autoradio"
https://www.subito.it/auto/toyota-rav4-aosta-604726627.htm,Toyota Rav4,16.500 €,10/2017,135000 Km,Diesel,Manuale,Euro 6,SUV/Fuoristrada,"Vendo Toyota RAV4 anno 2017 km 135.000 tenuta benissimo mai incidentata sempre tagliandata. Interni perfetti, sedili in tessuto, cambio manuale, navigatore vocale, colore nero metallizzato. In dotazione do anche quattro cerchi in lega per gomme invernali. La vettura è perfetta in tutte le parti meccaniche oltre che di carrozzeria. No perdi tempo."
https://www.subito.it/auto/fiat-stilo-aosta-604414467.htm,Fiat stilo,1.250 €,05/2007,240000 Km,Diesel,Manuale,- (Emissioni),Station Wagon,"Vendo fiat stilo 1900cc
Kit frizione nuovo
Segni di parcheggio
La vendo in forma vista e piaciuta"
https://www.subito.it/auto/audi-tt-mk3-2-0-tdi-aosta-603528384.htm,Audi TT Mk3 2.0 TDI,21.499 €,07/2015,135000 Km,Diesel,Manuale,Euro 6,Coupé,"Vendo Audi TT coupé 2.0 TDI ultra design, tenuta da amatore, usata come seconda auto causa cambio tipologia.

- 135.000 km
- Fari full LED Matrix
- Navigatore
- Sensori anteriori e posteriori
- Bollo e revisione pagati
- Cinghia di distribuzione sostituita a 116.000 km, dimostrabile con documentazione.""

No permute.
Primo contatto gradito via mail."
