title,price,url
"Opel Meriva
1.8-Panorama Dach-Navi!!",,https://www.autoscout24.com/offers/opel-meriva-1-8-panorama-dach-navi-gasoline-silver-99ecc6f8-3293-4380-a35a-46aa36628745
"Renault Twingo
1.2 Authentique,Servo,Faltdach,Tüv 11/25",,https://www.autoscout24.com/offers/renault-twingo-1-2-authentique-servo-faltdach-tuev-11-25-gasoline-black-84d3aaf6-89c2-426c-8b15-653b69cecbe1
"Renault Twingo
Paris,Klima, Allwetterreifen , Zahnriemen Neuw.",,https://www.autoscout24.com/offers/renault-twingo-paris-klima-allwetterreifen-zahnriemen-neuw-gasoline-white-c4769d38-7a88-4e5b-a965-2b6c6353e992
"Jeep Grand Cherokee
3.0 CRD Overland / Motorschaden /",,https://www.autoscout24.com/offers/jeep-grand-cherokee-3-0-crd-overland-motorschaden-diesel-black-d4093e9e-9b10-4212-a6ac-31ee27ca892d
"Audi A4
Lim. 1.9 TDI 1.Hand Klimaautom. Anängerkuppl.",,https://www.autoscout24.com/offers/audi-a4-lim-1-9-tdi-1-hand-klimaautom-anaengerkuppl-diesel-green-af299753-eae0-41a0-af1c-c149d6f3348f
"BMW 116
i Lim. 5-trg.",,https://www.autoscout24.com/offers/bmw-116-i-lim-5-trg-gasoline-grey-0a552dbf-508a-476b-a81f-d7b45e0162b1
"Skoda Octavia
Octavia Combi 1.6 TDI Green tec Ambition",,https://www.autoscout24.com/offers/skoda-octavia-octavia-combi-1-6-tdi-green-tec-ambition-diesel-5aab5cb3-6464-43ff-b980-af305c0a40d4
"Skoda Yeti
1.2 TSI Ambition Navi PDC Sitzhz",,https://www.autoscout24.com/offers/skoda-yeti-1-2-tsi-ambition-navi-pdc-sitzhz-gasoline-black-564af675-b947-4559-83f1-a86745536048
"Volkswagen Golf Variant
1.6 TDI DPF Comfortline",,https://www.autoscout24.com/offers/volkswagen-golf-variant-1-6-tdi-dpf-comfortline-diesel-black-ef7aaf2d-f6e6-4653-8f0a-4e07c043de7b
"Opel Corsa
C 1.8 Sport *92KW/125PS*KLIMA*15-ZOLL*",,https://www.autoscout24.com/offers/opel-corsa-c-1-8-sport-92kw-125ps-klima-15-zoll-gasoline-blue-67a5afb2-eb98-4e27-ab47-bc9eb8027c31
"Volkswagen up!
*KLIMAANLAGE*",,https://www.autoscout24.com/offers/volkswagen-up-klimaanlage-gasoline-white-235f4908-e060-43c4-a05a-a0923bcf18d2
"Peugeot 207
CC 1.6 HDI Allure *2.HAND*LEDER*KLIMAAUTOMATIK",,https://www.autoscout24.com/offers/peugeot-207-cc-1-6-hdi-allure-2-hand-leder-klimaautomatik-diesel-white-4734d805-5623-42dd-bec8-1db0b20d27bb
