brand,0
fiat,14791
audi,6880
volkswagen,6711
ford,5932
peugeot,5375
opel,4575
renault,3996
citroen,3883
jeep,3265
alfa,2914
lancia,2711
bmw,2520
toyota,2415
nissan,2362
hyundai,1766
mini,1709
smart,1555
kia,1480
land,1373
seat,994
porsche,949
suzuki,929
skoda,899
volvo,880
jaguar,585
mazda,531
mitsubishi,384
maserati,316
honda,293
chevrolet,287
mg,253
subaru,211
daihatsu,119
dacia,117
tesla,114
ferrari,108
lexus,102
dodge,49
chrysler,49
lamborghini,39
mercedes,32
saab,28
infiniti,28
bentley,24
hummer,21
daewoo,16
isuzu,14
aston,12
lotus,11
cadillac,8
great,5
rover,5
byd,4
iveco,3
mclaren,2
lincoln,2
seres,2
gmc,1
foton,1
saturn,1
