brand,count
fiat,16828
mazda,13124
volkswagen,8369
audi,8176
ford,6127
peugeot,5654
opel,4673
citroen,4418
renault,4163
bmw,3467
jeep,3361
honda,3183
alfa,2924
lancia,2779
nissan,2499
toyota,2488
mini,2407
hyundai,1801
kia,1632
smart,1597
land,1428
seat,1050
porsche,1007
suzuki,952
jaguar,938
volvo,922
skoda,908
mitsubishi,402
maserati,319
chevrolet,307
mg,264
subaru,216
lexus,157
daihatsu,128
dacia,119
tesla,115
ferrari,112
dodge,49
chrysler,49
lamborghini,39
mercedes-benz,33
infiniti,28
saab,28
hummer,27
bentley,24
daewoo,16
isuzu,14
aston,12
lotus,11
cadillac,8
great,5
rover,5
byd,4
iveco,3
mclaren,2
saturn,2
lincoln,2
seres,2
foton,1
gmc,1
