brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,region,brand,model
Opel Zafira 1.7 CDTI 110CV ecoFLEX One,5000,201306.0,161000,1,0,5,1.0,11.0,opel,zafira
Maserati Quattroporte V6 430 CV AWD Modena Q4,74900,202303.0,79700,2,1,6,2.0,11.0,maserati,quattroporte
Mazda MX-5 Roadster Coupé 1.8L Fire,15990,201203.0,64254,2,0,5,4.0,11.0,mazda,mx-5
Fiat Panda 1.2 Easy-KM91289-SI NEOPATENTATI -5 POS,8700,201812.0,91289,2,0,6,2.0,11.0,fiat,panda
Jeep Compass 1.6 Night Eagle,16900,201903.0,99000,1,0,6,5.0,11.0,jeep,compass
OPEL CORSA 1.3 DIESEL 75CV XNEOPATENTATI,8490,201502.0,89000,1,0,5,2.0,11.0,opel,corsa
Fiat Tipo SW 1.6 Mjt 130CV City Life,14900,202104.0,51200,1,0,6,5.0,11.0,fiat,tipo
Toyota LJ70VX,10500,198907.0,205000,1,0,0,3.0,11.0,,
LAND ROVER Freelander Freelander SW 2.0 td4 E,2990,200507.0,231308,1,0,3,3.0,11.0,land,rover freelander
AUDI Q2 35 2.0 TDI QUATTRO S-LINE INT+EXT 150cv S-,27500,202104.0,117500,1,1,6,5.0,11.0,audi,q2
Fiat Panda 1.0 FireFly S&S Hybrid City easy NESSUN,8490,202005.0,61000,3,0,6,6.0,11.0,fiat,panda
Range Rover Evoque E6 2.0 VALUTIAMO USATO /,14990,201511.0,139854,1,1,6,3.0,11.0,,
Ford Focus 1.8 TDCi Comandi audio Volante,1600,200411.0,260487,1,0,3,2.0,11.0,ford,focus
Renault Arkana 1.6 E-Tech hybrid Intens 145cv,20900,202107.0,84639,3,1,6,3.0,11.0,renault,arkana
MINI Mini Countryman F60 2017 - Mini Countryman 2.,30500,202106.0,32738,2,1,6,3.0,11.0,mini,countryman
Fiat Tipo SW 1.6 Mjt City Life 130CV,15900,202211.0,50300,1,0,6,5.0,11.0,fiat,tipo
Ford Transit 310 2.0TDCi 130CV PM-TM 9 Posti Autom,29900,202001.0,53000,1,1,6,1.0,11.0,ford,transit
Stilo station wagon 1.6 bz gpl,2000,200405.0,178000,4,0,3,5.0,11.0,,
Fiat Croma 1.9 Multijet 16V *Sensori Parcheggio*,1800,200703.0,265248,1,0,4,5.0,11.0,fiat,croma
Fiat Doblo Doblò 1.6 MJT 16V 105CV Easy Maxi,4990,201504.0,328000,1,0,5,1.0,11.0,fiat,doblo
Mercedes-benz B 180 B 180 CDI Premium,12500,201306.0,54000,1,0,5,1.0,11.0,,
Volkswagen scirocco 2.0 tsi dsg *full optional,4899,200903.0,191000,2,1,6,,11.0,volkswagen,scirocco
CUPRA Formentor Formentor 1.4 e-hybrid VZ Priority,28632,202205.0,58792,3,1,6,3.0,11.0,,
OPEL Mokka GPL-Tech 1.4 140CV Innovation,11000,201710.0,135000,4,0,6,3.0,11.0,opel,mokka
Ford Fiesta 1.4 5p. Bz.- GPL Titanium,7000,201506.0,120000,4,0,6,2.0,11.0,ford,fiesta
Mini Mini 1.6 16V Cooper Chili,3990,200704.0,140420,2,1,4,2.0,11.0,,
Mercedes-benz GLA 220 Automatic 4Matic Urban line,24900,201905.0,44500,2,1,6,5.0,11.0,,
Mercedes-benz A 180 A 180 CDI Avantgarde OK NEOPAT,2900,200607.0,195985,1,0,4,2.0,11.0,,
Jeep Compass 2.0 Multijet II aut. 4WD Limited,19500,201808.0,106750,1,1,6,3.0,11.0,jeep,compass
Alfa Romeo Stelvio 2.2 Turbodiesel 160 CV AT8 RWD,22400,202011.0,76000,1,1,6,5.0,11.0,alfa,romeo stelvio
MINI Mini Countryman F60 Mini 2.0 John Cooper...,29500,201909.0,81054,2,1,6,3.0,11.0,mini,countryman
Volkswagen Golf 1.6 TDI Highline/1PROP/GARANZIA,7500,201102.0,149000,1,0,5,2.0,11.0,volkswagen,golf
Renault Clio 1.0 TCe Techno 90CV,14900,202303.0,31082,2,0,6,2.0,11.0,renault,clio
KIA Sportage Sportage 2.0 crdi Plus Awd,8990,201201.0,155815,1,0,5,3.0,11.0,kia,sportage
BMW Serie 1 F40 - 118i Msport 140cv auto,19900,201911.0,84053,2,1,6,2.0,11.0,,
Jaguar XE 2.0 D Turbo 180 CV AWD aut. R-Sport Gara,19950,201705.0,43000,1,1,6,2.0,11.0,jaguar,xe
Fiat Panda 1.2 Dynamic GPL,3500,200905.0,166035,4,0,4,2.0,11.0,fiat,panda
