url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/fiat-punto-1-3-multijet-16v-5-porte-dynamic-l-aquila-604771507.htm,Fiat Punto 1.3 Multijet 16V 5 porte Dynamic,3.500 €,06/2005,144000 Km,Diesel,Manuale,Euro 4,Berlina,"Fendinebbia
Pretensionatore cinture
Airbag guida
Airbag passeggero
Chiave con transponder
Immobilizzatore
Climatizzatore
Retrovisori elettrici
Servosterzo
Tergilunotto
Autoradio
Cambio manuale
Sedile posteriore sdoppiato"
https://www.subito.it/auto/smart-forfour-1-0mhd-s-s-passion-71-4p-2016-teramo-604771773.htm,SMART ForFour 1.0mhd S&S Passion 71 4P - 2016,7.900 €,02/2016,114358 Km,Benzina,Manuale,Euro 6,Berlina,"SmartForFour 2S S&S 70 1.0mhd Passion 52Kw 71Cv, immatricolazione 19.02.2016, colore combinazione bianco/nero,Euro 6, autovettura uso proprio 4 posti con sedili stoffa grigia, cerchi lega,luci di posizione a Led, fendinebbia, impianto multimedia Radio / Media / Setup/ Telefono con porta Usb/Aux, control cruise comandi volante, comandoStart&Stop, chiusura centralizzata 2 chiavi telecomando, ABS, airbag,sidebag, vetri specchi comandi elettrici, pc bordo, fanali anterioriregolabili, climatizzatore automatico digitale, sedile posteriore sdoppiabilecon appoggiatesta, copribagagliaio posteriore 114.358Km. 
Euro 7.900,00... con la possibilità di finanziamento tramitefinanziaria 
INFO: Mostra numero Mostra numero (WhatsApp), Mostra numero"
https://www.subito.it/auto/audi-a1-spb-30-tfsi-s-tronic-identity-black-chieti-598600638.htm,AUDI A1 SPB 30 TFSI S tronic Identity Black,34.990 €,03/2025,,Benzina,Sequenziale,Euro 6,Berlina,"N.B: La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo. Vi invitiamo pertanto sempre a verificare le caratteristiche dello specifico veicolo una volta in sede.
La nostra azienda con più di 25 anni di storia nel campo automobilistico, offre serietà ed educazione. Sarete seguiti sempre dalla stessa persona. Offriamo la possibilità di finanziamento direttamente in sede. Rottamiamo la tua vecchia auto.

PER LO STOCK COMPLETO VISITA IL NOSTRO SITO WEB WWW.GCMOTORS.IT

DOTAZIONE SPECIFICA VEICOLO VIN WAUZZZGB9SR023121:

1AS Sistema elettronico di controllo della stabilitä (ESP)
1JS Ammortizzatori posteriori, Sport
1X0 Trazione anteriore
1Y3 Dispositivo antislittamento in partenza ( XDS ) sussidio dinamico per la trazione
2C5 Piantone dello sterzo regolabile in senso assiale e verticale
2PF Volante multifunzionale sportivo in pelle
4I3 Chiusura centralizzata Keyless-Entry senza dispositivo di sicurezza Safe
4UF Airbag lato conducente e passeggero
4X3 Airbag laterale anteriore, con airbag testa
6,00E+03 Bracciolo centrale anteriore
6I3 Segnale di avvertimento all'uscita dalla corsia
6K4 Sistema perimetrale Front Assist incl. funzione di frenata di emergenza City per Adaptive Cruise Control high
6XE Specchietti retrovisivi esterni regolab. riscaldab. ripiegab. elettricamente
7P4 Supporto lombare, regolabile manualmente per i sedili anteriori
7UH Predisposizione per sistema di navigazione (MIB)
7X2 Dispositivo di ausilio al parcheggio anteriore e posteriore
8N6 Tergicristalli a funzionamento intermittente con sensore luce pioggia
8Q3 Regolazione profonditä luce dei proiettori, automat. dinamica (avviene durante la marcia)
8T8 Regolazione automatica della distanza (con follow to stop) e limitatore di velocitä
9AK Climatronic con regolazione aria dinamica, senza CFC
9S0 Display multifunzione computer di bordo FPK accesso
AW1 Versione (high)
DS8 Mo..."
https://www.subito.it/auto/fiat-500-fiat-500-cabrio-s-l-aquila-604771479.htm,Fiat 500 Fiat 500 Cabrio S,8.900 €,09/2013,150000 Km,Diesel,Manuale,- (Emissioni),Cabrio,"ABS
Airbag per la testa
Chiusura centralizzata senza chiave
Airbag guida
Airbag passeggero
Airbag per le ginocchia
Climatizzatore
Ricircolo aria
Tetto apribile
Volante regolabile
Volante in pelle
Interni in pelle
Start/Stop Automatico
Autoradio
Bluetooth
Lettore MP3
USB
Cambio manuale
Pacchetto sportivo
Sedili sportivi
Sensori di parcheggio posteriori"
https://www.subito.it/auto/fiat-multipla-1-9-mjt-dynamic-l-aquila-604771470.htm,Fiat Multipla 1.9 MJT Dynamic,3.900 €,04/2010,240000 Km,Diesel,Manuale,Euro 4,Monovolume,"ABS
Airbag laterali
Fendinebbia
Pretensionatore cinture
Airbag guida
Airbag passeggero
Chiave con transponder
Climatizzatore
Correttore assetto fari
Vetri elettrici anteriori
Volante regolabile
Servosterzo
Tergilunotto
Autoradio
Cambio manuale
Filtro anti particolato
Sedile posteriore sdoppiato
Sensori di parcheggio posteriori"
https://www.subito.it/auto/volkswagen-golf-1-4-tgi-5p-highline-bluemotion-l-aquila-594980973.htm,Volkswagen Golf 1.4 TGI 5p. Highline BlueMotion,12.000 €,01/2017,177000 Km,Metano,Manuale,Euro 6,Berlina,"VOLKSWAGEN GOLF 1.4 TGI Bluemotion BENZINA-METANO 81kw (110cv) 
Autovettura in Ottime Condizioni Generali. 
Unico Proprietario. 
Regolarmente Tagliandata con Chilometri Reali.
Prossima revisione bombola metano 2027 
Optional:
Airbag laterali
Chiusura centralizzata
Fendinebbia
Pretensionatore cinture
Airbag per la testa
Immobilizzatore
Airbag per le ginocchia
Controllo automatico adattivo della velocità
Frenata automatica di emergenza
Appoggiatesta posteriori
Climatizzatore
Vetri elettrici anteriori
Volante regolabile
Sistema di navigazione
Controllo automatico velocità
Retrovisori elettrici
Sedile guida regolabile in altezza
Servosterzo
Tergilunotto
Vetri elettrici posteriori
Bracciolo sedili anteriori
Autoradio
Bluetooth
Cambio manuale
Sensori parcheggio anteriori e posteriori 
Finanziamento in Sede anche per l' Intero Importo con Minimo Anticipo. 
L'auto verrà consegnata tagliandata, igienizzata e con garanzia di 12 mesi.
Per Informazioni Contattare - Luca Tel. Mostra numero Andrea: Mostra numero"
https://www.subito.it/auto/volkswagen-t-roc-1-0-tsi-r-line-chieti-598434471.htm,VOLKSWAGEN T-Roc 1.0 TSI R-Line,29.500 €,07/2024,,Benzina,Manuale,Euro 6,SUV/Fuoristrada,"N.B: La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo. Vi invitiamo pertanto sempre a verificare le caratteristiche dello specifico veicolo una volta in sede.
La nostra azienda con più di 25 anni di storia nel campo automobilistico, offre serietà ed educazione. Sarete seguiti sempre dalla stessa persona. Offriamo la possibilità di finanziamento direttamente in sede. Rottamiamo la tua vecchia auto.

PER LO STOCK COMPLETO VISITA IL NOSTRO SITO WEB WWW.GCMOTORS.IT

DOTAZIONE SPECIFICA VEICOLO VIN WVGZZZA19RV173424:

1AS Sistema elettronico di controllo della stabilitä (ESP)
1X0 Trazione anteriore
2FD Volante multifunzionale in pelle
4UF Airbag lato conducente e passeggero
4X3 Airbag laterale anteriore, con airbag testa
6,00E+03 Bracciolo centrale anteriore
6I1 Sistema di riconoscimento della posizione della vettura all'interno della corsia
6K4 Sistema perimetrale Front Assist incl. funzione di frenata di emergenza City per Adaptive Cruise Control high
7AA Immobilizzatore elettronico
7UJ Predisposizione per sistema di navigazione con Pacchetto Media e Internet
7W2 Con sistema di sicurezza ampliato (PreCrash base e frontale)
7X5 Assistente al parcheggio
8AR Infotainment Opzione (MIB3)
8IU Proiettori principali LED con distribuzione differenziata luce
8N6 Tergicristalli a funzionamento intermittente con sensore luce pioggia
8Q3 Regolazione profonditä luce dei proiettori, automat. dinamica (avviene durante la marcia)
8T7 Regolazione automatica della distanza (senza follow to stop) e limitatore di velocitä
8WM Luci direzionali e all weather
9AK Climatronic con regolazione aria dinamica, senza CFC
9S0 Display multifunzione computer di bordo FPK accesso
9WJ Wired Wireless App-Connect
A9I Allestimento R-line
DS8 Motore a benzina a 3 cilindri 1,0 l 85 kW TSI motore base: TJ4 T0R T26 T0M T1D
EM2 Rilevatore di distrazione e stanchezza conducente
..."
https://www.subito.it/auto/ford-focus-1a-serie-98-05-focus-1-8-pescara-604774328.htm,FORD Focus 1a serie ('98'-'05') Focus 1.8,999 €,01/2003,105125 Km,Diesel,Manuale,Euro 4,Station Wagon,")FORD
Focus 1a serie ('98'-'05')
Focus 1.8 TDDi cat SW
Chilometraggio: 105135 
Condizioni: Usato
Immatricolazione: 31/03/2003
Tipologia: Utilitaria
Carburante: disel 
Tipo di cambio: Manuale
- ABS/ESP
- Volante in pelle
- Stereo CD MP3 USB
- Climatizzatore
- Vetri elettrici
- Specchietti elettrici
- Chiusura centralizzata
- revisione ok
- cambio olio e filtri 2024
- batterie cambiata2024
- gomme al 80%
- dischi e pasticche 2024
- interamente perfette 
- esternamente perfetta 
- motore una bomba visto il kilometraggio 
- doppia ? ? con telecomando 
- sensori di parcheggio 
- prezzo 999€
- neopatentati ok
- UNIPROPIETARIO"
https://www.subito.it/auto/alfa-romeo-stelvio-2-2-turbodiesel-210-cv-at8-q4-s-teramo-604773459.htm,Alfa Romeo Stelvio 2.2 Turbodiesel 210 CV AT8 Q4 S,20.800 €,09/2017,69642 Km,Diesel,Automatico,Euro 6,Station Wagon,"GARANZIA 12 MESI

INTERAMENTE FINANZIABILE"
https://www.subito.it/auto/peugeot-308-cc-1-6-benzina-gpl-130-000km-pescara-604175031.htm,Peugeot 308 CC 1.6 Benzina/GPL 130.000km,5.500 €,12/2009,130000 Km,Gpl,Manuale,- (Emissioni),Cabrio,"Peugeot 308 CC 1.6 Benzina/GPL
- Anno 2009 - 130.000 km

Vendo splendida Peugeot 308 CC Cabrio Coupé in condizioni eccellenti, con impianto GPL installato dalla casa madre valido fino al 2032, che garantisce consumi ridotti e accesso alle ZTL.
 o Motore 1.6 benzina con impianto GPL omologato
 o Solo 130.000 km reali
 o Climatizzatore bi-zona automatico
 o Bluetooth integrato
 o Capote rigida elettrica perfettamente funzionante
 o Bloccasterzo Block Shaft installato
 o Doppia chiave disponibile
 o Cerchi in lega, fendinebbia, pedaliera sportiva in alluminio
 o Interni tenuti benissimo, nessun lavoro da fare

L'auto è pronta all'uso, non necessita di alcun intervento meccanico o estetico. Ottima per chi cerca una cabrio sportiva, affidabile, con costi di gestione contenuti grazie al GPL.

Visibile su appuntamento.

Accetto permute!
Garanzia fini a 36 mesi pagamento a parte!"
