url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/mercedes-classe-a-v177-2022-udine-591768138.htm,MERCEDES Classe A (V177) - 2022,39.850 €,09/2022,18000 Km,Benzina,Sequenziale,Euro 6,Berlina,"PRIVATO VENDE A 35 AMG.

Vendesi a 35 AMG, unico proprietario.

Accessori:

- AMG NIGHT PACKAGE
- CERCHI IN LEGA DA 19""
- 2 DISPLAY PLANCIA DA 10,25""""
- VERNICE METALIZZATA:GRIGIO MONTAGNA
- PACCHETTO TECH.

GARANZIA 48 MESI.

Tagliando eseguti presso MB a Ottobre 2024.

Macchina tenuta in garage e sempre trattata in modo impeccabile.

Bollo e superbollo in scadenza a Settembre 2025."
https://www.subito.it/auto/ssangyong-korando-1-5-turbo-solo-km-27-mila-trieste-604504918.htm,Ssangyong Korando 1.5 Turbo SOLO KM 27 MILA,18.590 €,03/2022,27000 Km,Benzina,Manuale,Euro 6,SUV/Fuoristrada,"ALPINA CONCESSIONARIA UFFICIALE SSANGYONG E MITSUBISHI E GREAT WALL, FOTON, EMC, DFSK PER TRIESTE per GORIZIA e province

DA 45 ANNI PER VOI.


Whatsapp: Mostra numero SSANGYONG KORANDO 1.5 TURBO Benzina, del 2022, SOLO KM 27 MILA.
GARANZIA CASA MADRE FINO AL 2027 !!!

UNICO PROPRIETARIO

Principali Accessori:

FRENATA D'EMERGENZA AUTOMATICA, ABS, ESP, ASSISTENZA IN SALITA E DISCESA, 7 Airbag frontali e laterali e tendina, Airbag ginocchia guidatore, vetri elettrici, Climatizzatore, computer di bordo, Cruise Control, sedile frazionato, Luci diurne a LED, Fendinebbia, Chiusura a distanza con telecomando, Radio Mp3, USB, Bluetooth, volante e sedile in pelle regolabile in altezza, Cerchi in lega da 17"", vetri privacy, Spoiler Posteriore, sistema Audio. Servosterzo regolabile in 3 Posizioni. SCHERMO TOUCH ANDROID E APPLE, FCW CONTROLLO VELOCITA' IN DISCESA MANTENIMENTO CORSIA, RICONOSCIMENTO SEGNALI STRADALI STANCHEZZA CONDUCENTE AVVISO DISTANZA SICUREZZA AVVISO VEICOLO CHE PRECEDE. E MOLTO ALTRO !!

QUALITA' KOREANA


VALORE ALPINA.




I nostri ottimi prezzi non includono il costo del Trasferimento di proprietà il quale è una tassa a carico dell'acquirente. 


Offerta valida con SOLO con Permuta/Rottamazione veicolo fino al 2014 e finanziamento agevolato.


CONCESSIONARIA ALPINA TRIESTE da 45 anni al Vostro Servizio.


Concessionaria Mitsubishi e Ssangyong per Trieste- Gorizia e Provincia Autorizzata Hyundai, Kia


VIA COLOMBARA DI VIGNANO, 2 MUGGIA(TS)A 250 METRI DOPO IL CENTRO COMMERCIALE MONTEDORO FREETIME

ORARIO: siamo a vostra disposizione da lunedì al venerdi dalle 9.30 alle 12.15 e dalle 15 alle 19 il sabato dalle 10 alle 12.30 pomeriggio o Fuori orario su appuntamento. 

Le fotografie, le dotazioni, gli accessori dei veicoli devono intendersi solo come indicative del modello e possono non rappresentare il veicolo indicato. Si declina ogni responsabilità per eventuali incongruenze che non rappresentano in alcun modo un im"
https://www.subito.it/auto/peugeot-108-puretech-82-5-porte-active-pordenone-602803676.htm,PEUGEOT 108 PureTech 82 5 porte Active,8.900 €,12/2016,97000 Km,Benzina,Manuale,Euro 6,Berlina,"Chilometraggio: 97000
Condizioni: usato
Immatricolazione: 12/2016
Tipologia: 4/5-Porte
Carburante: Benzina
Tipo di cambio: Manuale

ABS, Airbag, Airbag laterali, Airbag Passeggero, Airbag testa, Alzacristalli elettrici, Antifurto, Autoradio, Bluetooth, Boardcomputer, Cerchi in lega, Chiusura centralizzata, Chiusura centralizzata telecomandata, Climatizzatore, Controllo trazione, Cronologia tagliandi, Cruise Control, ESP, Fendinebbia, Hill holder, Isofix, Monitoraggio pressione pneumatici, MP3, Sedile posteriore sdoppiato, Servosterzo, Specchietti laterali elettrici, Telecamera per parcheggio assistito, Touch screen, USB, Vivavoce, Volante in pelle, Volante multifunzione

Automobili David vi aspetta nelle sue sedi di Maniago, Spilimbergo e Sacile. Per prenotate l'auto da voi scelta chiamate i seguenti numeri:

David Daniele: Mostra numero David Alberto: Mostra numero Fisso: 0427-72602
Whatsapp business: Mostra numero e-mail: info@sitoweb
sitoweb



 Auto con chilometraggio garantito e con possibilità di finanziamento personalizzato, anche su tutto l' importo. Garanzia riconosciuta in tutta Italia* e con la possibilità di richiedere la spedizione del veicolo **.

Se sei interessato all'auto, in risposta all'annuncio indica: città e numero telefonico. 
 In caso di permuta, indica: marca, modello, colore, mese ed anno di immatricolazione, chilometri, accessori principali, cambio, KW/CV e stato della vettura (meglio se con foto allegate).

 NB: L'esattezza dei dati sopra inseriti va verificata con l'aiuto di un consulente alle vendite al fine di evitare possibili errori o incomprensioni. Per qualsiasi domanda o chiarimento saremo lieti di rispondervi con la massima professionalità e serietà.

Contatti: 042772602 , Mostra numero Rivenditore AUTOMOBILI DAVID"
https://www.subito.it/auto/volkswagen-tiguan-1-5-etsi-r-line-150cv-dsg-udine-600584973.htm,Volkswagen Tiguan 1.5 etsi r-line 150cv dsg,42.900 €,03/2024,24080 Km,Ibrida,Automatico,- (Emissioni),SUV/Fuoristrada,"ALTRI OPTIONALS:
Cerchi in lega catania 7 5 j x 19"" black, Fari iq.light led matrix hd, Iq.drive pack, Navigatore discover pro max, Volkswagen extra time 2 anni fino a 40.000 km

 [Rif. U-949-V31869]

Prezzo escluso del passaggio di proprietà.

Per informazioni e preventivi personalizzati contattare :
Tel. - Mostra numero Servizi offerti:
- ritiro usato
- servizi finanziari con tassi agevolati
- estensioni di garanzia del costruttore

Il gruppo Eurocar Italia s.r.l., con 7 concessionari dislocati tra Udine, Trieste, Gemona del Friuli e Villa Vicentina, è il più grande gruppo automobilistico della regione Friuli Venezia Giulia dove opera da oltre 15 anni. 
Per offrirle il miglior servizio possibile la invitiamo a prendere appuntamento con un nostro consulente dedicato. Orario salone: 8.30 - 12.30 / 14.30 - 19.00. Sabato: 09.30 - 12.30 / 15.00 - 18.00.

Nota Bene: La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l'inconveniente e vi invitiamo a verificare le caratteristiche dello specifico veicolo. Eurocar Italia s.r.l. declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale."
https://www.subito.it/auto/maserati-ghibli-v6-430-cv-q4-granlusso-pordenone-602204026.htm,Maserati Ghibli V6 430 CV Q4 Granlusso,43.890 €,12/2020,47654 Km,Benzina,Automatico,Euro 6,Berlina,"DEK:[9151560]
** GARANZIA ESTENDIBILE FINO A 4 ANNI **

Cosa vuol dire far parte della Community di ""NON PRENDERMI PER IL CHILOMETRO""?

Vuol dire offrire ad ogni cliente la certezza e la serenità di un acquisto sicuro, vuol dire metterci la faccia certificando la percorrenza chilometrica di ogni singola vettura, con i fatti e non con le parole, per noi far parte di questa Community è un impegno che con vanto portiamo avanti da anni.

 MASERATI 3.0 V6 430 CV GRANDLUSSO Q4 tua da 799 euro al mese*
*(richiedi le condizioni della promo ai nostri consulenti)

- Regolarmente Tagliandata
- Chilometri dichiarati in fattura
- Ultimo tagliando eseguito presso la nostra officina specializzata prima della consegna
- Revisione valida fino a 12/26
- Valutiamo permute

VOLANTE MULTIFUNZIONE
CRUISE CONTROL
SISTEMA DI NAVIGAZIONE
SENSORI DI PARCHEGGIO POSTERIORI
LEVE AL VOLANTE
RETROCAMERA


Nel prezzo di vendita non è incluso il passaggio di proprietà.
Alla consegna dell'auto verrà rilasciata una scheda dei lavori eseguiti. 
Su tutte le nostre auto viene eseguita l'igienizzazione e sanificazione degli interni con trattamento all'ozono.

Le nostre Sedi:

NICE'S CAR PORDENONE - VIALE VENEZIA, 15 - 33170 PORDENONE

NICE'S CAR VITTORIO VENETO - VIA RIZZERA, 401 - 31029 VITTORIO VENETO


GARANZIA ESTESA NICE'S CARD GOLD

Con il programma di fidelizzazione Nice's Car potrai usufruire di numerosi vantaggi ogni qualvolta dovrai fare un intervento sulla tua nuova auto, sia che si tratti di un guasto, di un tagliando di manutenzione, di un cambio gomme o un semplice controllo di routine.

++ Richiedi a un nostro consulente tutte le informazioni

SERVIZI OFFERTI VENDITA E POST VENDITA
- Officina, Cambio Gomme e Servizio Garanzia
- Carrozzeria
- Soccorso Stradale 
- Vettura Sostitutiva in caso di guasto
- Ufficio Pratiche Auto
- Subagenzia Assicurativa


Nota bene: La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero n"
https://www.subito.it/auto/mercedes-benz-a-170-a-170-coupe-avantgarde-udine-603969069.htm,Mercedes-benz A 170 A 170 Coupé Avantgarde,2.850 €,08/2008,251000 Km,Benzina,Manuale,Euro 4,Coupé,"ABS
Airbag laterali
Antifurto
Chiusura centralizzata
Fendinebbia
Pretensionatore cinture
Isofix
Chiusura centralizzata senza chiave
Immobilizzatore elettronico
Airbag guida
Airbag passeggero
Chiave con transponder
Controllo elettronico della stabilità
Immobilizzatore
Controllo elettronico della trazione
Sistema di controllo pressione pneumatici
Appoggiatesta posteriori
Climatizzatore
Correttore assetto fari
Retrovisori elettrici termici
Vetri elettrici anteriori
Volante regolabile
Vernice metallizzata
Sensore luci
Volante in pelle
Indicatore temperatura esterna
Retrovisori elettrici
Sedile guida regolabile in altezza
Servosterzo
Tergilunotto
Bracciolo sedili anteriori
Volante multifunzione
Autoradio
Bluetooth
USB
Connessione dati
Lettore CD
Vivavoce
Cambio manuale
Check panel
Pacchetto sportivo
Sospensioni sportive
Cerchi in lega
Sedile posteriore sdoppiato
Sensori di parcheggio posteriori
Sensori Anteriori
La vettura si presenta in ottime condizioni generali, la stessa verrà consegna tagliandata, igenizzata e preparata di carrozzeria, oltre si godrà di n.12 mesi di garanzia full service!! 
Per visione e prova su strada gradito appuntamento telefonico al Mostra numero"
https://www.subito.it/auto/fiat-lancia-ypsilon-trieste-604776686.htm,Fiat Lancia Ypsilon,8.590 €,01/2020,45200 Km,Benzina,Manuale,Euro 6,Utilitaria,"Vendesi lancia ypsilon elefantino BLU 1.200 69CV benzina, unick proprietario, MUNITO DI REPORT CARVERTICAL.
L'auti si presenta con 45.200 km, ultimo tagliando effettuato a 39.000 km con sostituzione pastiglie freni, candele, filtro olio e abitacolo, sostituzione gomme.
Perfetta per neopatentati e per la città, vendessi per passaggio ad auto piu grande prezzo leggermente trattabile."
https://www.subito.it/auto/belisimabmw-in-endita-udine-604772626.htm,Belisimabmw in endita,2.600 €,05/2001,40000 Km,Diesel,Manuale,Euro 4,Berlina,La macchina è in perfeto stato
https://www.subito.it/auto/fiat-panda-cross-1-0-firefly-hybrid-spoticar-udine-604770845.htm,Fiat Panda CROSS 1.0 FireFly Hybrid SPOTICAR,14.500 €,04/2024,18700 Km,Ibrida,Manuale,Euro 6,Berlina,"Occasione PANDA 1.0 Hybrid 5 posti (ELETTRICA/BENZINA), NAZIONALE, del APRILE 2024, color BLU ITALIA MET., con 18.700 km., in allestimento CROSS. Noi siamo Uff. SPOTICAR!!! DISPONIBILI ANCHE ALTRE PANDA CROSS (BIANCA, ROSSA)
Vettura tagliandata ufficiale, gommata, in ottime condizioni sia di interni che di carrozzeria.NOSTRA OFFERTA, EURO 14.500 (IVA 22% COMPRESA)
Motore 999cc (5.3 L/100 km nel ciclo misto) da 70 cv con unità elettrica Mild Hybrid
EURO 6d ISC! VETTURA PER NEOPATENTATI.
ACCESSORI: cerchi stile 15'', body kit cross, fari fendinebbia, luci diurne a led, mancorrenti longit. al tetto neri, vetri post.ri oscurati, rilevatore ostacoli post.re, retrovisori esterni regolab. elettr., climatizzatore, modulo mp3 con usb, display touchscreen 7'' (con radio DAB, connettività per smartphone e vivavoce bluetooth), computer di bordo, sensore luci e pioggia, volante multifunz., airbags, abs ebd, esp asr/msr, hba, City Mode, vetri e ch. centr. con comando a distanza, sedili in tessuto Concrete con trama a strisce.

garanzia: si UFFICIALE 

finanziabile anche interamente (OFFERTA AUTO BAGNOLI S.R.L. FINO A 9.000 EURO 36 MESI TASSO 2.99 o FINO A 15.000 EURO 60 MESI TASSO 5.99)

si accettano eventuali permute (CON VALUTAZIONE)

PREFERIBILI CONTATTI TELEFONICI

AUTO VISIBILE PRESSO AUTO BAGNOLI S.R.L. (SU APPUNTAMENTO)
PEUGEOT - MAZDA - CHEVROLET - SUZUKI - SEAT - MITSUBISHI - FORD - USATO MULTI MARCA
TEL.: Mostra numero PAGINA FB: AUTOBAGNOLI
Via dei Banduzzi, 63
33050 Bagnaria Arsa (UD) - S.S. 14"
https://www.subito.it/auto/volkswagen-tiguan-1-5-tsi-ehybrid-r-line-plus-204c-udine-603619001.htm,Volkswagen Tiguan 1.5 tsi ehybrid r-line plus 204c,46.300 €,2025,,Ibrida,Automatico,- (Emissioni),SUV/Fuoristrada,"ALTRI OPTIONALS:
Black style pack, Cerchi in lega york 8 5 j x 20"" black, Volkswagen extra time 2 anni fino a 40.000 km

 [Rif. N-949-V178486]

Vettura nazionale.

Offerta Ipt esclusa, valida con noleggio a lungo termine ed entro il 31/05/2025.

VETTURA IN ARRIVO

Per informazioni e preventivi personalizzati contattare :
Tel. - Mostra numero Servizi offerti:
- concessionaria ufficiale Volkswagen
- ritiro usato
- servizi finanziari con tassi agevolati
- noleggio lungo termine
- estensioni di garanzia del costruttore

Il gruppo Eurocar Italia s.r.l., con 7 concessionari dislocati tra Udine, Trieste, Gemona del Friuli e Villa Vicentina, è il più grande gruppo automobilistico della regione Friuli Venezia Giulia dove opera da oltre 15 anni. 
Per offrirle il miglior servizio possibile la invitiamo a prendere appuntamento con un nostro consulente dedicato. Orario salone: 8.30 - 12.30 / 14.30 - 19.00. Sabato: 09.30 - 12.30 / 15.00 - 18.00.

Nota Bene: La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali. Ci scusiamo per l'inconveniente e vi invitiamo a verificare le caratteristiche dello specifico veicolo. Eurocar Italia s.r.l. declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale."
