url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/volkswagen-t-roc-1-0-tsi-style-genova-592436464.htm,Volkswagen T-Roc 1.0 TSI Style,23.900 €,04/2023,28758 Km,Benzina,Manuale,Euro 6,SUV/Fuoristrada,"DEK:[9276134]
La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali.
Piave Motori S.p.A. declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.

I valori relativi ai consumi di carburante e alle emissioni specifiche di Co2 indicati sono riferiti alla vettura in allestimento di serie e possono essere suscettibili di variazioni a seconda del tipo di trasmissione (automatica o manuale), della misura dei pneumatici e di alcuni accessori presenti come optional sul veicolo. Ulteriori informazioni su consumi ed emissioni sono reperibili nella guida sul consumo di carburante e sulle emissioni specifiche delle autovetture nuove, distribuita gratuitamente presso i nostri punti vendita e scaricabile dal sito www.mise.gov.it

L'immagine è puramente indicativa e potrebbe non rispecchiare appieno le caratteristiche del prodotto
La dotazione tecnica e gli accessori indicati nella presente scheda potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali.
Piave Motori S.p.A. declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale.

I valori relativi ai consumi di carburante e alle emissioni specifiche di Co2 indicati sono riferiti alla vettura in allestimento di serie e possono essere suscettibili di variazioni a seconda del tipo di trasmissione (automatica o manuale), della misura dei pneumatici e di alcuni accessori presenti come optional sul veicolo. Ulteriori informazioni su consumi ed emissioni sono reperibili nella guida sul consumo di carburante e sulle emissioni specifiche delle autovetture nuove, distribuita gratuitamente presso i nostri punti vendita e scaricabile dal sito"
https://www.subito.it/auto/toyota-yaris-1-0-5-porte-addetta-per-neopatentati-genova-604771726.htm,Toyota Yaris 1.0 5 porte addetta per neopatentati,2.900 €,03/2007,130000 Km,Benzina,Manuale,Euro 4,Berlina,"Toyota yaris 1.0 5 porte 
A detta per neopatentati 
Autovettura 
Meccanicamente in ordine 
Carrozzeria perfetta tranne qualche piccolo segno 
Interno perfetta 
FULL OPTIONAL 
GOMME BUONE 
REVSIONE VALIDA 
DOPPIE CHAVI 

SOLO SU APPUNTAMENTO 
RITRO USATO"
https://www.subito.it/auto/kia-ceed-cee-d-1-6-crdi-110-cv-5-porte-cool-genova-604764787.htm,Kia Ceed cee'd 1.6 CRDi 110 CV 5 porte Cool,5.900 €,10/2015,200800 Km,Diesel,Manuale,Euro 6,Berlina,"MACCHINA MOLTO BELLA 
MECCANICA ED INTERNI PERFETTI
CARROZZERIA CON QUALCHE PICCOLO SEGNO SUL PARAURTI
NON NECESSITA NESSUN TIPO DI LAVORO
NON RISPONDO A MAIL. PREFERISCO ESSERE CONTATTATO TRAMITE CHIAMATA O WHATSAPP. Possibilita' di consegna auto direttamente al porto di Genova per imbarco isole.

Prima della consegna le nostre auto vengono controllate, collaudate e igenizzate.

Siamo aperti dal Lunedi al Sabato
dalle 8,30 alle 12,30 e dalle 14,30 alle 18,00

Disponiamo di un vasto parco di auto usate che potete trovate visitando il nostro shop. per info e appuntamento chiamare il numero: Mostra numero"
https://www.subito.it/auto/citroen-berlingo-auto-per-disabili-genova-541825942.htm,CITROEN Berlingo - Auto per disabili,38.500 €,03/2025,100 Km,Diesel,Manuale,Euro 6,- (Tipologia),"Il Citroën Berlingo per disabili con pianale ribassato iMobility è un veicolo accessibile per persone con mobilità ridotta. 

CITROEN BERLINGO PER DISABILI
È basato sul popolare Citroën Berlingo, ma è stato modificato per facilitare l'accesso e il trasporto delle carrozzine. L' auto per disabili è dotata di una rampa di risalita che si richiude su se stessa grazie al sistema Easyflex e sistema di fissaggio della carrozzina che assicura che la sedia a rotelle sia fissata in posizione in modo sicuro durante la guida. 

IL PIANALE RIBASSATO
Il sistema è semplice da usare e può essere regolato per adattarsi a diversi tipi di carrozzine. Oltre alle caratteristiche accessibili, il Citroën Berlingo per disabili con pianale ribassato iMobility offre anche tutte le caratteristiche e le funzionalità standard della Citroën Berlingo. 

IL SISTEMA DI RITENUTA
L' auto per disabili allestita da iMobility è completa di sistema di ritenuta con arrotolatori e cinture a 3 punti per garantire il massimo della sicurezza alla persona trasportata in sedia a rotelle. 

ADATTAMENTO PER DISABILI
Di seguito le principali caratteristiche del Berlingo:
- Pianale Ribassato
- Rampa con sistema Easyflex
- Arrotolatori
- Cinture a 3 punti 
- Sistema di sicurezza

IMPORTANTE 
Il prezzo è riferito al veicolo venduto con le agevolazioni relative alle legge 104,

OLTRE al Citroen per disabili, disponiamo anche di Peugeot Rifter e Peugeot Doblò, chiamateci per prenotare un test drive."
https://www.subito.it/auto/volvo-xc60-2017-2022-savona-602686408.htm,Volvo xc60 (2017-->) - 2022,36.900 €,05/2022,50330 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"VENDO PER CAMBIO AUTO - PREZZO RIBASSATO!!!!
 
Volvo XC60 05/22 , 193 cv 2.0 myld hybrid DIESEL 4x4 regolarmente tagliandata. 
Mai incidentata
No fumatori
In condizioni perfette ad esclusione di qualche graffio su cerchio anteriore sx e posteriore dx 

OPTIONAL:
Telecamera + sensori di parcheggio 360º
Sedili in pelle blonde riscaldabili, regolabili elettronicamente con memoria di seduta lato guidatore 
Volante riscaldato
Cerchi in lega da 21
Inserti in radica bianca 
Pomello in cristallo
Chiusura portellone elettrica con apertura con sensore di movimento 
Bracciolo centrale sedili posteriori con porta bibite
Agganci isofix per seggiolini
Ruotino di scorta
Apertura a distanza 
Carica batteria wireless 
Specchietti richiudili elettricamente
Controllo vocale Google 
Climatizzatore bi-zona
Funzione start/stop
Freno di stazionamento elettrico
Vetri posteriori e bagagliaio oscurati

Disponibili ulteriori foto. Passaggio escluso a carico dell'acquirente."
https://www.subito.it/auto/volkswagen-polo-business-1-0-mpi-75-cv-5p-comfort-genova-604767215.htm,Volkswagen Polo Business 1.0 MPI 75 CV 5p. Comfort,12.900 €,03/2018,78000 Km,Benzina,Manuale,Euro 6,Berlina,"auto tagliandata regolarmente 
2 proprietari  dal 2018 al 2021    primo     2021 2025   secondo 
app-connect 
finanziabile senza vincoli 
possibilità di permuta del vostro usato
12 mesi di garanzia 
guidabile per neopatentati 
per visionarla solo su appuntamento"
https://www.subito.it/auto/lancia-ypsilon-1-0-firefly-70cv-hybrid-platinum-genova-604765941.htm,Lancia Ypsilon 1.0 FireFly 70cv Hybrid Platinum,14.499 €,04/2024,20000 Km,Ibrida,Manuale,Euro 6,Utilitaria,"Salve come da titolo vendo la mia lancia ypsilon 1.0 fire Fly 70cv versione platinum in condizioni pari a nuovo.
Garanzia estesa per altri 4 anni.
Block shaft originale FIAT
Vettura italiana comprata in FiAT.
Unico proprietario.
La macchina e una versione strafull.
Dispone dei seguenti accessori:
Telecamera posteriore, navigatore,ricarica wireless
Schermo da 7"" con Carplay/Android Uconnect, Comandi al Volante, fendinebbia anteriori e posteriori ,cerchi in lega bicolore con il nero, Sensori di parcheggio, Attacco Isofix, ruota di scorta con kit.
Vetri elettrici anteriori e posteriore.
Specchietti elettrici.
Sedile regolabile in altezza, Sedile posteriore sdoppiato e omologato per 5 persone.
Sistema monitoraggio pressione pneumatici, Fendinebbia, Aria condizionata, Volante sterzo registrabile.
1 tagliando annuale già effettuato in Fiat.
I km sono certificati.
La macchina non ha mai subito incidenti.
Prezzo trattabile.
Per qualsiasi prova o altre richieste è possibile avere un contatto telefonico."
https://www.subito.it/auto/fiat-grande-punto-grande-punto-1-3-mjt-75-cv-5-por-savona-604771209.htm,Fiat Grande Punto Grande Punto 1.3 MJT 75 CV 5 por,2.200 €,06/2007,230000 Km,Diesel,Manuale,Euro 4,Berlina,Fiat grande punto motore 1300 diesel da 75 cv in buone condizioni generali doppie chiavi gommata buona interni in buone condizioni guidabile anche da neopatentati consumi bassi
https://www.subito.it/auto/opel-mokka-1-2-turbo-gs-line-130cv-genova-603153579.htm,Opel Mokka 1.2 Turbo GS Line 130CV,17.500 €,06/2022,36622 Km,Benzina,Manuale,Euro 6,Berlina,"VETTURA UNICO PROPRIETARIO .
Il chilometraggio delle nostre vetture viene sempre garantito e riportato sulla scheda di conformità che verrà consegnata contestualmente alla consegna della vettura, se ha piacere di prendere visione di tutte le auto disponibili e avere maggiori dettagli collegarsi al nostro sito aziendale :
https://www.gruppoge.it/auto/usate/?type=USED
VISIBILE NEL NOSTRO SHOWROOM DI GENOVA IN VIA AUGUSTO PEDULLA N°13.
ORARI VENDITA SALONI DA LUNEDI' A SABATO:
Mattina dalle 09:00 alle 12:20
Pomeriggio dalle 15:00 alle 19:00
Possibilità di estendere la garanzia con pacchetti Mapfre.
Passaggio di proprietà escluso dal prezzo ed a carico dell'acquirente, tassa a importo variabile a seconda dei kW del veicolo.
POSSIBILITÀ DI INSERIRE POLIZZA ASSICURATIVA ACCESSORIA:
FURTO/INCENDIO - ATTI VANDALICI - EVENTI ATMOSFERICI - PROTEZIONE CRISTALLI - SOCIO POLITICI - ALLUVIONE - URTO CON ANIMALE SELVATICO - URTO CON VEICOLO NON ASSICURATO.
NON ESITARE A CONTATTARCI PER UN PREVENTIVO PERSONALIZZATO.
ABBIAMO PIU' DI 300 VETTURE NON INSERZIONATE QUINDI NON ESITATE A CONTATTARCI PER AVERE MAGGIORI INFORMAZIONI SU QUELLE NON ANCORA PUBBLICATE DEL NOSTRO PARCO AUTO AI NUMERI:
ABRAMO FABIO Mostra numero fabio.abramo@gruppoge.it
MIKEL KOLA Mostra numero mikel.kola@gruppoge.it
GIANLUCA PROFUMO Mostra numero gianluca.profumo@gruppoge.it
ELISABETTA DI MARTINO Mostra numero elisabetta.dimartino@gruppoge.it
Nota bene: La dotazione tecnica e gli accessori indicati nella presente potrebbero non coincidere con l'effettivo equipaggiamento del veicolo, a causa della non uniformità dei dati pubblicati dai diversi portali.
Ci scusiamo per l'inconveniente e vi invitiamo a verificare con un nostro consulente le caratteristiche dello specifico veicolo.
GT Motor Spa e Gecar Spa declinano ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in alcun modo un impegno contrattuale. Ci dissociamo da eventuali clausole riportate in automatico sui vari port"
https://www.subito.it/auto/volkswagen-polo-1-6-tdi-90cv-dpf-5-porte-highline-genova-604815320.htm,Volkswagen Polo 1.6 TDI 90CV DPF 5 porte Highline,3.900 €,11/2010,190000 Km,Diesel,Manuale,Euro 5,Berlina,"Polo 5 porte 1.6 TDI 90 Cv DPF 5 porte HIGHLINE 
Autovettura 
Meccanicamente perfetta 
Fatti lavori cinghia distruzione 
Iniettori tutto nuovo 
Taligando
Carrozzeria piccolo segno 
Interno buono stato 
OPTIONAL 
Cerchi in lega 
Climatizzatore elettronico 
Vetri eletrici 
Sedili sportivi 
Radio cd 
REVONE"
