url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/range-rover-sport-5-0-v-8-del-2017-milano-601165629.htm,Range Rover sport 5.0 V 8 del 2017,35.000 €,06/2017,147000 Km,Benzina,Automatico,Euro 5,SUV/Fuoristrada,Auto in ottimo stato
https://www.subito.it/auto/volkswagen-polo-1-0-tsi-80cv-edition-plus-milano-598103892.htm,Volkswagen Polo 1.0 TSI 80cv Edition Plus,18.980 €,01/2025,,Benzina,Manuale,- (Emissioni),Berlina,"< ![CDATA[
 **Prezzo già calcolato di sconto Promo WOW 1510 €**
Vedi i dettagli offerta sul nostro sito
 **VETTURA IN PRONTA CONSEGNA**,
 Visionabile presso la sede di Robecco sul Naviglio (MI),
 Disponibile per TEST DRIVE e visione.
 Prezzo escluso passaggio di proprietà e IPT.
 
 Nessun costo nascosto.

 **SERVIZIO CLIENTI - Chiama Ora!**
 Robecco sul Naviglio (MI)
 Cell. Mostra numero Cell. Mostra numero Tel. Mostra numero **GARANZIA**
 Possibilità di estensione della garanzia fino a 48 mesi.
 Possibilità di far visionare l'auto da uno specialista di fiducia.

 **INCLUSI SEMPRE NEL PREZZO**
 Certificazione Km: solo chilometri reali
 Certificazione Auto: controlli tecnici e garanzia casa madre
 Lavaggio e igienizzazione professionale
 Servizio navetta dalla stazione ferroviaria di Magenta (MI)
 Gestione di tutte le pratiche automobilistiche

 **PERMUTE**
 Ritiriamo auto usate o da rottamare con SUPERVALUTAZIONE.
 Contattaci per richiedere una valutazione del tuo usato in modo semplice e preciso.

 **SOLUZIONI FINANZIARIE**
 Soluzioni finanziarie per ogni esigenza
 Finanziamenti (totali o parziali)
 Leasing (totali o parziali)
 Pacchetti assicurativi personalizzabili

 **EXTRA**
 Se la vettura ideale non è disponibile presso il nostro stock siamo in grado di procurarla in breve tempo attraverso numerosi canali di approvvigionamento italiani ed esteri.
 La dotazione tecnica e gli optional potrebbero in alcuni casi differire dall'effettivo equipaggiamento della vettura. A causa della difformità dei dati pubblicati dai vari portali, Automilano S.r.l. declina ogni responsabilità per eventuali involontarie incongruenze, che non rappresentano in ogni caso un impegno contrattuale.
 AUTOMILANO, Your Next Car
 Via per Magenta 34, Robecco sul Naviglio (MI) ]>"
https://www.subito.it/auto/mini-1-6-16v-cooper-s-tettuccio-como-604773023.htm,Mini 1.6 16V Cooper S TETTUCCIO,6.490 €,12/2003,179000 Km,Benzina,Manuale,Euro 4,Berlina,"Stupenda Prima Serie Mini Cooper S (la più ricercata del mercato) con il celeberrimo compressore volumetrico da 163cv.
Quotazioni in ascesa, iscrivibile ASI e quindi esentasse!
Carrozzeria in condizioni da vetrina, senza graffi e senza sportellate da parcheggio; mai incidentata. Cerchi da 17"", DISPONIBILE A PARTE TRENO INVERNALE, lavafari, TETTO APRIBILE, sedili riscaldati, cruise control, comandi radio al volante, interni in pelle.
Interni perfetti, climatizzatore automatico, regolazione lombare.
Motorizzazione perfetta

Valutazione permuta;
Conformità 12m;
Maggiori info: Mostra numero"
https://www.subito.it/auto/jaguar-e-pace-2-0d-150-cv-awd-aut-r-dynamic-hse-pavia-593067081.htm,JAGUAR E-Pace 2.0D 150 CV AWD aut. R-Dynamic HSE,25.990 €,07/2021,92000 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"Chilometraggio: 92000
Condizioni: usato
Immatricolazione: 07/2021
Tipologia: Fuoristrada
Carburante: Diesel
Tipo di cambio: Automatico

ABS, Airbag, Airbag laterali, Airbag Passeggero, Alzacristalli elettrici, Antifurto, Autoradio, Bluetooth, Cerchi in lega, Chiusura centralizzata, Climatizzatore, Controllo trazione, Cruise Control, ESP, Fendinebbia, Filtro antiparticolato, Immobilizzatore elettronico, Interni in pelle, Park Distance Control, Regolazione elettrica sedili, Sedile posteriore sdoppiato, Servosterzo, Sistema di navigazione, Specchietti laterali elettrici, Telecamera per parcheggio assistito

VETTURA GARANTITA --- UNICO PROPRIETARIO
PREZZO ESCLUSO PASSAGGIO DI PROPRIETA'
VETTURA PRONTA CONSEGNA
VISIBILE IN AUTOSALONE
OFFERTA SENZA VINCOLI DI FINANZIAMENT
Compreso nel prezzo:

 Lavaggio ed igienizzazione interni per garantire alla nostra clientela il gusto di salire a bordo di una vettura nuova
 Tagliando Completo pre-consegna
 Possibilità di dare in permuta il vostro usato

N.B.: Gli equipaggiamenti sopra descritti sono caricati automaticamente dal sistema e potrebbero verificarsi delle incongruenze con gli accessori realmente presenti in vettura.I dati relativi alla vettura e alla documentazione possono contenere errori o inesattezze Pertanto quanto descritto non ha valore contrattuale ma è puramente indicativo Mostra numero Mostra numero Contatti: Mostra numero , Mostra numero Rivenditore VOGHERA AUTO SRL"
https://www.subito.it/auto/dr-automobiles-dr-6-0-1-5-turbo-cvt-bi-fuel-gpl-monza-591335922.htm,DR AUTOMOBILES dr 6.0 1.5 Turbo CVT Bi-Fuel GPL,21.000 €,05/2022,32482 Km,Gpl,Automatico,Euro 6,SUV/Fuoristrada,"DEK:[9150354]
GJ338RM

Le immagini pubblicate sono a scopo illustrativo. Le caratteristiche tecniche, di equipaggiamento, omologazione anti inquinamento ed i colori possono differire leggermente da quanto rappresentato. In nessun caso i prezzi pubblicati su questo sito rappresentano un impegno contrattuale. Annuncio pubblicitario con finalità promozionale.
Il prezzo esposto non comprende passaggio di proprietà o nazionalizzazione"
https://www.subito.it/auto/mini-mini-2-0-cooper-s-volcanic-orange-monza-604776358.htm,Mini Mini 2.0 Cooper S Volcanic Orange,14.800 €,08/2017,82098 Km,Benzina,Manuale,Euro 6,Berlina,"Chiusura centralizzata
Fendinebbia
Pretensionatore cinture
Immobilizzatore
Climatizzatore
Correttore assetto fari
Vetri elettrici anteriori
Volante regolabile
Indicatore temperatura esterna
Retrovisori elettrici
Servosterzo
Autoradio
Bluetooth
Computer di bordo
Cambio manuale
Cerchi in lega
Sedile posteriore sdoppiato"
https://www.subito.it/auto/alfa-brera-2-4-jtdm-250cv-brescia-604772770.htm,Alfa Brera 2.4 Jtdm 250cv,10.900 €,04/2011,10000 Km,Diesel,Manuale,Euro 4,Coupé,"Vendo Alfa Romeo Brera per necessità di veicolo più spazioso.
L'auto monta la motorizzazione alfa romeo diesel 2.4 da 210cv stock, che è stata portata a 250cv per mappatura e sostituzione dell'intercooler con uno maggiorato.
L'auto conta 200.000km all'attivo, ma il motore è stato totalmente rifatto circa 7000km fa, a causa di una rottura, sono stati sostituiti i pistoni e la testata.
Gli interni sono in ottimo stato, salvo qualche piccolo dettaglio di usura del tempo.
Il veicolo monta uno schermo touch aftermarket, con navigazione, bluetooth e retrocamera, compatibile con android auto ed apple car play.
L'auto inoltre monta qualche dettaglio estetico, come il paraurti della novitech, e i cerchi in lega da 19"".
Oltre a questi ultimi fornisco anche altri 4 cerchi originali Alfa Romeo da 18"" non gommati.
L'assetto dell'auto è stato reso ancora più sportivo con il cambio degli ammortizzatori, montando delle molle eibach più rigide e ad altezza ribassata, e le ruote sia anteriori che posteriori sono state campanate per garantire una tenuta degna di un'auto da pista.
Sono disponibile per qualsiasi informazione e per foto aggiuntive.
L'auto è sempre stata tenuta in modo maniacale, e gli unici difetti che presenta sono quelli dovuti al tempo e all'usura."
https://www.subito.it/auto/volkswagen-passat-2-0-tdi-140cv-bluemotion-milano-604776446.htm,Volkswagen Passat 2.0 TDI 140cv bluemotion,6.300 €,05/2013,253111 Km,Diesel,Manuale,Euro 5,Station Wagon,"VOLKSWAGEN PASSAT B7 2013 - 2.0 TDI 140 CV - BlueMotion 

Prezzo 6.300 Euro 

Tel 320-067-4633
SOLO CHIAMATE NO MESSAGGI GRAZIE 

Bellissima PASSAT B7 del 2013 sempre tagliandata regolarmente, non richiede interventi a livello meccanico pronta al uso. interno ed esterno tenuto benissimo in ottimo stato spaziosa e comoda, molto economica anche nei consumi, auto che ha tanto da offrire per una famiglia. Disponibile per visione e prova anche con un meccanico di fiducia 

Anno immatricolazione 2013
Chilometri 254.000
Carburante Diesel 
Direttiva Euro 5
Cambio Manuale 6 m 
Potenza in kw 103(140cv)
Start and stop 
Sensori parcheggio anteriori e posteriori 
Sistema Hill Holder automatico 
Navigatore satellitare touchscreen 
Luci led automatiche 
Freno di stazionamento elettrico 
Specchietti riscaldati e richiudibili elettrici 
Computer di bordo digitale 
Comandi al volante, connettività smartphone 
Cruiser control 
Vetri oscurati privacy 
Pacchetto luci interne ed esterne Led 
Clima automatico bi zona digitale 
Cerchi R 16 gomme 80% 
Doppie chiavi chiusura centralizzata 
Ruota di scorta kit completo"
https://www.subito.it/auto/fiat-500l-living-1-6-lounge-ok-neopatentati-brescia-604776014.htm,Fiat 500L Living 1.6 Lounge ok neopatentati,5.700 €,02/2014,160000 Km,Diesel,Manuale,Euro 5,Monovolume,"OK NEOPATENTATI 

FIAT 500L LIVING 
ANNO 2014
1.6 DIESEL 
KM 160.000

CLIMA 
COMANDI AL VOLANTE 
NAVI 
RADIO CD/AUX/BT 
SERVOSTERZO+CITY 
CRUISE CONTROL 
ISOFIX 
CHIUSURA CENTRALIZZATA 
SENSORI POST 
CERCHI IN LEGA 
COMODA E SPAZIOSA 
TAGLIANDATA 
REVISIONATA 
2 CHIAVI 

AUTO IN OTTIME CONDIZIONI 
CARROZZERIA PERFETTA 
MECCANICA PERFETTA."
https://www.subito.it/auto/cla-amg-ediction-non-trattabile-bergamo-604776812.htm,Cla amg ediction non trattabile,8.700 €,03/2016,330000 Km,Diesel,Automatico,Euro 6,- (Tipologia),non trattabile ripeto non trattabile evitate mandare offerte auto molto bella piccolo difetto iniettore 1 con poca spesa si ripara ma auto funzionante può viaggiare senza problemi xinfo 3807561376 ripeto non trattabile grazie
