url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/fiat-panda-0-9-twinair-turbo-natural-power-easy-campobasso-604759161.htm,Fiat Panda 0.9 TwinAir Turbo Natural Power Easy,6.900 €,05/2015,110000 Km,Metano,Manuale,Euro 6,Berlina,"Bella Fiat Panda 900cc Natural Power 
Impianto metano casa madre fino al 2027
Unico proprietario 
Importo finanziabile 
Disponibile oltre 40 auto pronta consegna"
https://www.subito.it/auto/fiat-panda-1-2-easy-campobasso-604759181.htm,Fiat Panda 1.2 Easy,7.490 €,03/2017,140000 Km,Benzina,Manuale,Euro 6,Berlina,"Bella Fiat Panda 1200
Appena eseguito tagliando completo di cinghia distribuzione e pompa acqua 
Gommata 
Interni belli
Importo finanziabile 
Disponibile oltre 40 auto pronta consegna"
https://www.subito.it/auto/fiat-panda-1-0-firefly-s-s-hybrid-easy-campobasso-604759173.htm,Fiat Panda 1.0 FireFly S&S Hybrid Easy,9.500 €,12/2020,49000 Km,Ibrida,Manuale,Euro 6,Berlina,"Splendida FIAT Panda 1000cc Hybrid 
Ok neopatentati 
Auto locale 
Importo finanziabile 
Disponibile oltre 40 auto pronta consegna"
https://www.subito.it/auto/tesla-model-3-standard-plus-rwd-campobasso-604752821.htm,Tesla Model 3 Standard Plus rwd,23.900 €,12/2020,77269 Km,Elettrica,Automatico,Euro 6,Berlina,"Tesla Model 3 Standard Plus Rwd

- Veicolo Italiano
- Unico Proprietario

- IVA Deducibile

Immatricolazione: 16/12/2020
Chilometraggio: 77.269 km
Carburante: Elettrico
Cambio: Automatico

Equipaggiamenti di serie:
- Cerchi in Lega
 
Storico manutenzione:
- 01/02/2022 a 19.632 km
- 27/02/2023 a 39.500 km
- 29/12/2023 a 55.363 km
- 20/01/2025 a 72.372 km

Visibile nel nostro punto vendita, acquista anche online sul nostro sito"
https://www.subito.it/auto/ford-kuga-4wd-campobasso-588769501.htm,Ford Kuga 4WD,12.500 €,07/2018,129000 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"Ford Kuga 2.0 tdci 150 cv awd automatico. Vendo per passaggio a 7 posti. Tagliando auto e revisione effettuati recentemente, tagliando cambio automatico effettuato a 120.000 km presso officina Ford. Start and Stop,sedili anteriori e posteriori regolabili, volante in pelle con comandi,climatizzatore automatico di-zone, impianto audio con display multifunzione, computer di bordo, bluetooth, eco drive, cruise control, assistente alla frenata, sistema anti cappottamento, controllo trazione,assistente partenza in salita, barre stabilizzatrici, indicatore pneumatici, fissaggio isofix, sensori parcheggio, airbag laterali e ginocchia, specchietti elettrici, vetri posteriori oscurati, barre sul tetto, cerchi 17. Due proprietari. No perditempo."
https://www.subito.it/auto/opel-astra-1-4-turbo-110cv-ecom-sports-tourer-inno-campobasso-604758395.htm,Opel Astra 1.4 Turbo 110CV EcoM Sports Tourer Inno,8.500 €,11/2018,177000 Km,Metano,Manuale,Euro 6,Station Wagon,"PROPONIAMO IN VENDITA:
 
MARCA: OPEL
MODELLO: ASTRA
CILINDRATA: 1400 TURBO (BOLLO RIDOTTO)
ALIMENTAZIONE: BENZINA/METANO (CASA MADRE)
POTENZA: 110 CV
IMMATRICOLAZIONE: 11/2018
KM: 177000
COLORE ESTERNO: GRIGIO AVI METALLIZZATO
COLORE INTERNO: NERO
CONDIZIONI: MOLTO BUONE
- PRONTA CONSEGNA
- AUTOMOBILE UFFICIALE ITALIANA
- IMPORTO FINANZIABILE
- KM CERTIFICATI
GARANZIA: Automobile venduta con garanzia MAPFRE 12 MESI con soccorso stradale H24/24
 
OPTIONAL:
Vernice extra serie
Cerchi in lega R17
Luci diurne a led
Fari allo Xeno
Lettore segnali stradali
Franata di emergenza
Specchio retrovisore anti abbagliamento
Volante in pelle multifunzione
Bluetooth
Navigatore
Usb
Telefono
Apple CarPlay ed AndroidAuto
Climatizzatore Automatico Bi-Zona
Cruise Control
Cruise Control adattivo
Limitatore di velocità
4 Vetri elettrici
Vetri posteriori privacy
Specchi elettrici
Sensori di parcheggio anteriori
Sensori di parcheggio posteriori
 
CI TROVATE A TERMOLI (CB) IN CONTRADA PANTANO ALTO PRESSO AutoMercato (di fronte la ORSOLINI)"
https://www.subito.it/auto/bmw-serie-2-216d-gran-tourer-7-posti-campobasso-604753031.htm,BMW Serie 2 216d Gran Tourer 7 posti,14.500 €,04/2018,124018 Km,Diesel,Manuale,Euro 6,Monovolume,"Bmw 216d Gran Tourer 7 Posti

- Veicolo Italiano
- Unico Proprietario

- IVA Deducibile

Immatricolazione: 12/04/2018
Chilometraggio: 124.018 km
Carburante: Diesel
Cambio: Manuale

Equipaggiamenti di serie:
- Climatizzatore Manuale
- Sedile guida regolabile in altezza
- Sedili posteriori scorrevoli
- Volante in pelle
- Sterzo regolabile in altezza
- Filtro antiparticolato
- Antifurto
- Sospensioni pneumatiche
- Impianto audio
- Comandi al volante
- Computer Bordo
- Autoradio digitale
- Cerchi in Lega
- Specchietti Elettrici
- Fari LED
- Sensori Pioggia
- Luci diurne
- Airbag
- Airbag Laterale
- Servosterzo
- Sistema elettronico della stabilità
- Sistema di controllo pressione pneumatici
- Frenata di emergenza assistita
- Sistema di chiamata d'emergenza
 
Storico manutenzione:
- 16/10/2019 a 32.553 km
- 07/08/2020 a 47.193 km
- 19/03/2021 a 62.678 km
- 28/10/2021 a 73.472 km
- 01/06/2022 a 87.550 km
- 13/12/2022 a 99.000 km
- 15/09/2023 a 115.414 km

Visibile nel nostro punto vendita, acquista anche online sul nostro sito"
https://www.subito.it/auto/mitsubishi-l200-2-3-d-club-cab-4x4-invite-connect-isernia-603026106.htm,Mitsubishi L200 2.3 D Club Cab 4x4 Invite Connect,27.000 €,06/2022,45021 Km,Diesel,Manuale,Euro 6,SUV/Fuoristrada,"VETTURA TENUTA IN OTTIMO STATO
PREZZO COMPRENSIVO DI IVA 32.940,00 €
4 POSTI AUTOCARRO 
Perché scegliere MOTORIS ?
AUTO CERTIFICATE con più di 100 controlli.
PREZZO FISSO e TRASPARENTE: nessuna sorpresa sul prezzo finale all'acquisto!
VALUTIAMO E COMPRIAMO IL TUO USATO
FINANZIAMENTI personalizzati con possibilità di furto incendio , atti vandalici eventi atmosferici , cristalli e pacchetto manutenzione
TEST DRIVE su tutte le vetture disponibili, previo appuntamento
ESTENSIONE DI GARANZIA
per maggiori info contattaci: Mostra numero visita il nostro sito: WWW.MOTORIS.IT"
https://www.subito.it/auto/citroen-c5-aircross-1-2-120cv-business-campobasso-604752906.htm,Citroen C5 Aircross 1.2 120cv Business,14.500 €,09/2019,108431 Km,Benzina,Manuale,Euro 6,SUV/Fuoristrada,"Citroen C5 Aircross 1.2 130cv Business

- Veicolo Italiano
- Unico Proprietario

- IVA Deducibile

Immatricolazione: 05/09/2019
Chilometraggio: 108.431 km
Carburante: Benzina
Cambio: Manuale

Equipaggiamenti extraserie del valore di 300€ inclusi nel prezzo:
- Telecamera posteriore 300€

Equipaggiamenti di serie:
- Sedile guida regolabile in altezza
- Sedili posteriori scorrevoli
- Volante in pelle
- Chiusura Centralizzata
- Impianto audio
- Navigatore
- Computer Bordo
- Cerchi in Lega
- Bluetooth
- Start e Stop
- Specchietti Elettrici
- Fari LED
- Fendinebbia
- Luci diurne LED
- Luci diurne
- Interni Pelle
- Airbag
- Airbag Laterale
- Controllo Trazione (TSC - ASR)
- Sistema elettronico della stabilità
- Cruise Control
- Sistema di controllo pressione pneumatici
- Frenata di emergenza assistita
- Isofix
- Sistema di chiamata d'emergenza
- Riconoscimento segnali stradali
- Sensori di parcheggio posteriori
- Telecamera Posteriore
- Sensori Pioggia
- Park Distance Control
- Alzacristalli Elettrici
 
Storico manutenzione:
- 22/10/2020 a 25.375 km
- 22/09/2021 a 48.521 km
- 21/10/2022 a 74.719 km
- 30/11/2023 a 93.299 km

Visibile nel nostro punto vendita, acquista anche online sul nostro sito"
https://www.subito.it/auto/fiat-punto-1-2-benzina-isernia-604760755.htm,Fiat Punto 1.2 Benzina,1.500 €,06/2000,169956 Km,Benzina,Manuale,- (Emissioni),Utilitaria,"Vendo Fiat Punto immatricolazione anno 2000 1200 Benzina, è stato sostituito gruppo pompa carburante completo ed è stata ultimamente revisionata. Prezzo 1500€ trattabili potete contattarmi per vederla.
Zona Venafro (IS)"
