url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/fiat-600-1-2-hybrid-74kw-100cv-dct-torino-603542304.htm,FIAT 600 1.2 HYBRID 74KW (100CV) DCT,21.970 €,2025,,Ibrida,Automatico,- (Emissioni),SUV/Fuoristrada,"Veicolo nuovo non immatricolato. 

DEK:[8681142]
Nuova FIAT 600 Hybrid 1.2 100CV
Diversi colori e allestimenti.

>>> Tua a partire da € 23.500 euro - met. e IPT esclusi 
EXTRA SCONTO BONUS FINANZIAMENTO € 21.970 <<<

PREZZO VALIDO CON LA PROMOZIONE DIELLE AUTO CHE PREVEDE:
* Finanziamento personalizzato
* Assicurazione incendio, furto e garanzie accessorie
* Estensione della garanzia della casa madre fino a 60 mesi complessivi con chilometraggio illimitato
* Pacchetto di manutenzione ordinario

PRINCIPALI OPTIONALS DI SERIE:
* Uconnect Services
* Cluster digitale TFT 7.0"" a colori
* Radio DAB 10'' Con Carplay Android auto
* Palette cambio al volante
* Sensore pioggia
* Sensori di parcheggio posteriore
* Fari posteriori LED
* Proiettori FULL LED

Il punto vendita è aperto nei seguenti orari:
dal lunedì al venerdì:9.00-12.30; 14.30-19.30
Il sabato: 9.00-12.30; 15-18,30

Dielle Auto non è solo qualità e convenienza ma anche assistenza a 360 gradi, oltre a seguire il cliente durante la fase di acquisto lo supporteremo tramite tutti i nostri servizi postvendita:
OFFICINA per tagliandi, assistenza generale e revisioni
PNEUMATICI ESTIVI E INVERNALI vendita e montaggio
INSTALLAZIONE di navigatori, antifurti, sistemi di parcheggio, ecc...


> Ricordiamo ai gentili clienti che, onde evitare equivoci e per poter offrire un servizio di qualità, consigliamo di contattarci telefonicamente per verificare la disponibilità della vettura, ricordiamo inoltre che la garanzia si intende valida dalla data di immatricolazione della vettura.

> Dielle Auto garantisce l'originalità delle immagini pubblicate e dei veicoli pubblicizzati. Queste informazioni NON sono le informazioni precontrattuali previste dal D.Lgs. 21/2014, ma una semplice indicazione sommaria del veicolo offerto che dovrà essere completata da specifiche informazioni precontrattuali fornite dal Venditore proponente prima che assumiate impegni. La società venditrice, inoltre, si riserva"
https://www.subito.it/auto/alfa-romeo-stelvio-2-2-cc-210-cv-q4-veloce-km0-torino-602189277.htm,Alfa Romeo Stelvio 2.2 cc 210 CV Q4 Veloce KM0,28.560 €,12/2024,,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"Autovincenti è un Autosalone Multibrand specializzato nella vendita online in tutta Italia.
Per scoprire di più su di noi, cercaci su Google come Autovincenti Torino, oppure visita le nostre pagine social di Instagram e TikTok cercandoci come Autovincenti.
Oltre 3.000 autovetture di qualsiasi brand fra km zero, aziendali ed usate garantite sempre in pronta consegna.

Autovincenti propone in vendita questa splendida ALFA ROMEO STELVIO 2.2 TURBO DIESEL 210 CV AT8 INTEGRALE VELOCE km zero di Dicembre 2024.

***NOTA BENE*** IL PREZZO INSERZIONATO SI RIFERISCE ALLA RATA PARI A €595 IVATI/MESE PER I 48 MESI DI UTILIZZO, CON LA PROMOZIONE AUTOVINCENTI (SIMIL NOLEGGIO PER PRIVATI E DITTE INDIVIDUALI). 
NON E' IL PREZZO VETTURA, BENSI' L'ESBORSO DI DENARO NEI 48 MESI PER L'UTILIZZO DELL'AUTO.

INCLUSI NEI €595/MESE E ZERO ANTICIPO:
* Passaggio di proprietà della vettura;
* Spese di messa su strada;
* Spese istruttoria pratica finanziaria;
* Km illimitati nei 48 mesi;
* Bonus pari ad € 2.000 alla sostituzione del 48esimo mese.

POSSIBILITA' DI INSERIRE I SEGUENTI SERVIZI EXTRA (FACOLTATIVI):
* Polizza assicurativa furto/incendio/kasko e garanzie accessorie;
* Estensione di garanzia;
* Treni gomme extra.

Info tramite WhatsApp: 338.56.83.783
Email: direzione@autovincenti.it
Sito Web: www.autovincenti.it
Google: Autovincenti Torino
Canali Social: Autovincenti


In Autovincenti forniamo il servizio di ACQUISTO AD HOC per il cliente: reperiamo qualsiasi tipo di vettura con configurazione e motorizzazione da te richiesta. 
Non esitare a contattarci per una consulenza ed un preventivo personalizzato.

Ci troviamo in Via Giordano Bruno 65/H - 10134 Torino (TO), ma siamo completamente digitalizzati. 
Pertanto potremo gestire tutta la trattativa online e vederci direttamente in sede di consegna. 
Offriamo il servizio shuttle gratuito dalle stazioni ferroviarie di Torino Porta Susa e Torino Porta Nuova e dall'aeroporto di Caselle Torinese, per un'esperi"
https://www.subito.it/auto/volkswagen-polo-1-4-tdi-highline-2017-come-nuova-torino-588062331.htm,VOLKSWAGEN Polo 1.4 TDI highline - 2017 come nuova,10.490 €,12/2016,185000 Km,Diesel,Manuale,Euro 6,- (Tipologia),"Vendo Volkswagen Polo 1.4 TDI Highline bluemotion, immatricolata a dicembre 2016, in condizioni eccellenti, sia estetiche che meccaniche, veramente ben accessoriata per essere una Polo e tenuta da amatore. 

L'auto è stata curata con grande attenzione e passione, utilizzata principalmente per percorsi autostradali e sempre custodita in posto riparato. Ideale per chi cerca una vettura affidabile, dai consumi ridotti e con un allestimento completo.

Caratteristiche principali:
- Motore: 1.4 TDI, diesel, economico e performante.
- Potenza: 66 kW / 90 CV
- Chilometraggio: 185.000 km
- Cambio: Manuale a 5 marce
- Colore carrozzeria: nero
- Interni: Tessuto/Alcantara in condizioni perfette, già sanificati

Optional e dotazioni:
- Cerchi in lega da 17 pollici
- Sistema di infotainment con Apple CarPlay e Android Auto integrato, con Navigatore VolksWagen
- Pacchetto luci automatiche
- Climatizzatore automatico e digitale
- Cruise control per viaggi confortevoli
- Vetri posteriori oscurati per maggiore privacy
- Specchietti retrovisori elettrici, riscaldabili e con funzione antiriflesso
- Sensori di parcheggio anteriori e posteriori
- Volante multifunzione in pelle regolabile in altezza e profondità
- Sistema Start & Stop per ridurre i consumi (disattivabile)
 - Controllo elettronico della stabilità (ESC) e assistenza alla frenata
- Classe emissioni EURO 6

Manutenzione e documentazione:
- Service effettuato recentemente, l'auto è pronta all'uso
- Bollo auto pagato fino a dicembre 2025
- Revisione valida fino a gennaio 2027
- Pneumatici in ottime condizioni (invernali / all season)
- Nessun difetto di carrozzeria, tenuta da vero amatore

Prezzo richiesto: 10.490 euro
Prezzo trattabile per chi è realmente interessato
Non necessita di alcun intervento ed è pronta per essere utilizzata immediatamente
Vendo per passaggio a veicolo di fascia superiore (T-Roc) 
Per maggiori informazioni o foto, per visionarla o provarla, potete contattarmi anche su WA
No perditempo!"
https://www.subito.it/auto/opel-zafira-1-7-cdti-110cv-ecoflex-one-novara-601866691.htm,Opel Zafira 1.7 CDTI 110CV ecoFLEX One,5.000 €,06/2013,161000 Km,Diesel,Manuale,Euro 5,Monovolume,"Auto tenuta in ottime condizioni

Meccanica ed elettronica ottime

Veramente ottimo affare

La macchina verrà consegnata con trattamento di igienizzazione completo, lavata internamente e esternamente.

E' possibile prova su strada del veicolo

Da noi troverai inoltre la soluzione più adatta alle tue esigenze.

PER INFO:
Auto Ticino SRLS

Ufficio Mostra numero Sig.stavian Mostra numero Sig.MOMI Mostra numero Tutte le vetture sono visionabili presso il nostro autosalone 
ci troviamo in 
Via Sacco e Vanzetti 7
28040 Borgo Ticino - Novara - No




Potete visionare il nostro parco Auto sul nostro sito Autoticino.it
https://autoticino.it/parco-auto/


Eventuali incongruenze tra le caratteristiche presentate nella scheda descrittiva e le effettive dotazioni del veicolo non costituiscono in alcun modo un vincolo contrattuale per il venditore

ABS
Airbag laterali
Chiusura centralizzata
Fendinebbia
Pretensionatore cinture
Airbag per la testa
Isofix
Airbag guida
Airbag passeggero
Chiave con transponder
Appoggiatesta posteriori
Climatizzatore
Correttore assetto fari
Volante regolabile
Controllo automatico velocità
Retrovisori elettrici
Sedile guida regolabile in altezza
Servosterzo
Bracciolo sedili anteriori
Computer di bordo
Cambio manuale
Filtro anti particolato"
https://www.subito.it/auto/maserati-quattroporte-v6-430-cv-awd-modena-q4-torino-574284331.htm,Maserati Quattroporte V6 430 CV AWD Modena Q4,74.900 €,03/2023,79700 Km,Benzina,Automatico,Euro 6,Berlina,"TOPCARSWEB Luxury vi da il benvenuto.

Oltre 60 veicoli sempre in pronta consegna!
Rilasciamo F24 IVA pagata su tutti i nostri veicoli importati.
Agenzia diretta CA bank, Deutsche Bank ,Findomestic bank , Compass bank e Santander Bank.
Finanziamenti personalizzati anche sino a 120 rate con polizze Kasko comprese con valore a nuovo per 24 /36/48/60 mesi! Possibilità di includere RC AUTO
Leasing (SOLO CON IVA DEDUCIBILE) 36/48/60 mesi con acconto e maxi rata finale personalizzabile
con valore a nuovo kasko e RC auto inclusi
Disbrigo pratiche auto in sede
Tutti i chilometri delle nostre auto sono certificati e dimostrabili da cronologia service ufficiale e vengono riportati in fattura.

MASERATI QUATTROPORTE V6 430cv AWD MODENA Q4
NO IVA DEDUCIBILE

** PREZZO UNICA SOLUZIONE 80.900,00 **

ACCESSORI:
- Air Shutter 
- Cambio automatico sequenziale a 8 rapporti 
- Finiture interne in leno piano Black lucido
- Global Telematics Box Module
- Impianto frenante Dual Cast
- Livello ecologico euro 6d final co2 improvement
- Palette cambio su piantone sterzo
- Pedaliera sportiva in acciaio Inpx
- Pinze freno verniciate in Giallo
- Impianto Audio Harman/Kardon
- Sedili riscaldati 
- Sistema di ricarica Wireless 
- Volante sportivo in pelle nera
- Sistema di navigazione satellitare con Touchscreen mtc DA 10.1""

REPERIAMO QUALIASI TIPO DI VETTURA CON CONFIGURAZIONE E MOTORIZZAZIONE DA VOI RICHIESTA
CONTATTACI!

PER LA VALUTAZIONE DEL TUO USATO INVIACI LE FOTO INTERNE ESTERNE,COPIA LIBRETTO E CHILOMETRAGGIO ATTUALE AL SEGUENTE NUMERO WHATSAPP Mostra numero CONSEGNAMO IN TUTTA ITALIA
Diamo la possibilità di consegna a domicilio in tutta Italia, isole comprese.
Prestiamo molta attenzione ai nostri annunci, ma invitiamo a verificare sempre con i nostri venditori eventuali accessori e caratteristiche dell'auto, in quanto non saremo responsabili di eventuali errori presenti nei nostri annunci.

Segui le nostre pagine social così da rimanere sempre ag"
https://www.subito.it/auto/mazda-mx-5-roadster-coupe-1-8l-fire-torino-600914623.htm,Mazda MX-5 Roadster Coupé 1.8L Fire,15.990 €,03/2012,64254 Km,Benzina,Manuale,Euro 5,Cabrio,"DEK:[9553009]
AUTO CON MANUTENZIONE COMPLETA MAZDA , DAVVERO BEN TENUTA , QUALSIASI PROVA"
https://www.subito.it/auto/hyundai-bayon-1-2-mpi-mt-xline-torino-604201995.htm,Hyundai Bayon 1.2 MPI MT XLine,19.250 €,05/2025,,Benzina,Manuale,Euro 6,Berlina,"DEK:[9666866]
 Hyundai Bayon 1.2 MPI MT XLine"
https://www.subito.it/auto/fiat-idea-torino-604095806.htm,Fiat Idea,2.950 €,04/2011,257000 Km,Diesel,Manuale,- (Emissioni),Berlina,"VENGA A TROVARCI: LA VETTURA E' DISPONIBILE DA FARE QUALSIASI PROVA.

DISPONIAMO DI CIRCA 200 VETTURE USATE DI QUALSIASI MODELLO,MARCA E ALIMENTAZIONE,OLTRE A VEICOLI COMMERCIALI A PREZZI COMPETITIVI.

QUASI TUTTE LE VETTURE SONO IN GARANZIA FINO A DUE ANNI. E' POSSIBILE FINANZIARE ANCHE L'INTERO IMPORTO CON TASSI AGEVOLATI.

SIAMO APERTI TUTTI I GIORNI, DAL LUNEDI' ALLA DOMENICA, DALLE ORE 09:00 ALLE 12:45 E DALLE 15:00 ALLE 18:45

CONTATTI:

392 1888 732 Mostra numero Corso Roma 45/1 - Moncalieri (TO)"
https://www.subito.it/auto/fiat-panda-1-2-easy-km91289-si-neopatentati-5-pos-torino-600428744.htm,Fiat Panda 1.2 Easy-KM91289-SI NEOPATENTATI -5 POS,8.700 €,12/2018,91289 Km,Benzina,Manuale,Euro 6,Berlina,"FIAT PANDA 12 EASY,IMM.20-12-2018,KM91289 CERTIFICATI,CINGHIA DISTRIBUZIONE NUOVA DA NOI ESEGUITA,REVISIONE MARZO 2027,BOLLO NOVENMBRE 2025.OTTIMA PER NEOPATENTATI,ACCESSORI:QUINTO POSTO, CLIMA,ABS,IDROGUIDA,AIRBAG,SEDILE E VOLANTE REGOLABILI,VETRI ELETTRICI,CHIUSURA A DISTANZA,INTERNI E CARROZZERIA TENUTI MOLTO BENE,GOMME QUASI NUOVE,PREZZO REALE SENZA OBBLIGO DI FINANZIAMENTO.PER CONTATTI MARCO Mostra numero"
https://www.subito.it/auto/jeep-compass-1-6-night-eagle-torino-604776868.htm,Jeep Compass 1.6 Night Eagle,16.900 €,03/2019,99000 Km,Diesel,Manuale,Euro 6,Station Wagon,"JEEP COMPASS 1.6 6D NIGTH EAGLE
KM 104.00 versione Nigth Eagle.
OK neopatentati
Alimentazione diesel, Euro 6D Nessun blocco al traffico.
Motore Ottimo tagliando pre consegna
Carrozzeria: Perfetta come in foto. 
Interni: ottimi misto
pelle.
Gomme: 40% 5mm ant 90%75mm
post.
REVISIONE: valida 2 anni
Doppia chiave: Presente
Optional : climatizzatore bizona, sensori di parcheggio,
telecamera posteriore, cruise control, chiusura centralizzata, autoradio aux bluetooth
, cruise control, Specchi elettrici, comandi al volante.
Problemi da segnalare: nulla in particolare.
Prezzo: 16.900,00€
Possibilità di garanzia guasti, finanziamento e di avere
certificato storico Carfax. PASSAGGIO DI PROPRIETA' ESCLUSO

TUTTE LE NOSTRE AUTO SONO VISIBILI IN SEDE: Via Circonvallazione 52 - San giorgio canavese (previo appuntamento)
PER INFORMAZIONI O PER PRENDERE APPUNTAMENTO: Johnny Zana tel. Mostra numero (anche whats app)"
