url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/ford-c-max-c-max7-1-6-tdci-115cv-business-cagliari-604770294.htm,Ford C-Max C-Max7 1.6 TDCi 115CV Business,10.400 €,09/2014,125000 Km,Diesel,Manuale,Euro 5,Berlina,"-La vettura stata sottoposta a uno scrupoloso controllo dal nostro gruppo di meccanici. 

-Possibilità di una garanzia legale di dodici o ventiquattro mesi, valida in tutta Italia e soccorso stradale compreso.


-Possibilità di finanziamento, in sede, SENZA anticipo. 


-Potete trovarci a Quartucciu, in Via Alghero, 44, (strada SS554, km 10, 200 fronte ""Centro Porte"").


-Riceviamo anche su appuntamento. 


Tel: Mostra numero E.M. AUTO


e.m2018auto@gmail.com"
https://www.subito.it/auto/volkswagen-up-1-0-evo-move-up-65cv-sassari-558222840.htm,Volkswagen up 1.0 evo Move up 65cv,17.500 €,11/2023,5000 Km,Benzina,Manuale,Euro 6,Berlina,"Il nostro team di consulenti e' a completa disposizione per trovare le migliori soluzioni d'acquisto adatte per ogni TUA esigenza, quindi anche con formule come:
- FINANZIAMENTO
- LEASING
 
Oltre alla classica e obbligatoria RCA noi di Welcome Cars siamo in grado di abbinare altre tipologie assicurative quali:

- ASSICURAZIONE CON FRANCHIGIA E SCOPERTO ZERO
- FURTO INCENDIO
- ATTI VANDALICI
- CRISTALLI
- CALAMITÀ NATURALI
- GRANDINE
- EVENTI ATMOSFERICI E SOCIO POLITICI
- URTO CONTRO ANIMALI SELVATICI
- RIFACIMENTO CHIAVI

- DA 1 FINO A 3 ANNI DI VALORE A NUOVO SENZA DEGRADO
 
 
Grazie alla nostra professionalita' ti GARANTIAMO assistenza sui guasti meccanici per auto nuove ed usate.
 
Valutiamo PERMUTE.
 
 
PUOI CONTATTARCI PER RICHIEDERE UN APPUNTAMENTO TRAMITE:
 
MAIL: venditautomobili@welcomecars.it
FACEBOOK: www.facebook.com/WelcomeCarsItaly
 
WHATSAPP: Mostra numero OPPURE CHIAMACI ORA AL Mostra numero Ti ricordiamo che tutte le nostre auto sono sottoposte ad un accurato stato d'uso prima di essere proposte per la vendita e sono coperte da garanzia legale di conformita' di 12 mesi con possibilita' di estensione fino a 36. Non dimenticare che il passaggio di proprieta' e' sempre a carico dell'acquirente e possiamo consegnarti la tua nuova auto presso il tuo domicilio!
N.B: Qualora fossero presenti imprecisioni causate dalla non uniformita' dei dati pubblicati
Accessori di serie:
- Cerchi in lega da 15
- Sedili anteriori regolabili
- Climatizzatore
- Antifurto Immobilizer
- Chiusura centralizzata
- Impianto audio con radio digitale DAB
- Start & Stop
- Interni in tessuto
- Sistema di assistenza al mantenimento della corsia
- Assistente per partenze in salita
- Controllo della frenata
- Fissaggi Isofix
- Regolatore di velocitÃ  - Cruise Control
- Sensori parcheggio posteriori
- Alzacristalli elettrici"
https://www.subito.it/auto/citroen-c1-benzina-oristano-604772018.htm,Citroen C1 benzina,1.700 €,10/2009,146000 Km,Benzina,Manuale,Euro 4,Utilitaria,Vendo Citroen C1 benzina..buone condizioni.. foto è informazioni su richiesta...no perditempo... auto si può vedere zona Sassari.
https://www.subito.it/auto/volkswagen-golf-2-0-tdi-dsg-scr-life-sassari-589388354.htm,Volkswagen Golf 2.0 TDI DSG SCR Life,24.490 €,01/2022,72000 Km,Diesel,Sequenziale,Euro 6,Berlina,"Anno 2022 - km 72000
PRONTA CONSEGNA!
Allestimento life:
ABS, Airbag conducente, laterali, passeggero, Assistente abbaglianti, Chiusura
centralizzata telecomandata, Impianto regolazione velocità, Verniciatura pastello, 
Sistema multimediale, predisposizione navigatore touchscreen, cerchi in lega, Climatizzatore automatico, sensore parcheggio anteriore e post., 
Bluetooth- Radio -Fari full Led- Luci d'ambiente a led colorati, lane assist.

Garanzia 12 mesi
Finanziabile tutto l'importo"
https://www.subito.it/auto/scenic-full-optional-sud-sardegna-604769580.htm,Scenic full optional,4.000 €,10/2013,240000 Km,- (Carburante),- (Cambio),- (Emissioni),- (Tipologia),"Per conclusione immediata vendo a soli €4000 
Renault Scenic anno 2013, 1.5 diesel km 240000 navigatore, sensori, alzacristalli elettrici, clima, gomme nuove. Lavori eseguiti. Ottime condizioni. Auto comoda e spaziosa. Bassi consumi. 
Cagliari."
https://www.subito.it/auto/nissan-qashqai-1-6-automatico-sassari-604777161.htm,Nissan Qashqai 1.6 automatico,14.500 €,06/2018,122000 Km,Diesel,Automatico,Euro 5,SUV/Fuoristrada,"Vendo Nissan Qashqai 1.6 N-Connecta cambio automatico del 2018 km 120000 circa, bianco perlato con tettuccio panoramico, cerchi in lega da 18""
€ 14500,00 trattabili"
https://www.subito.it/auto/renault-megane-sporter-dci-8v-110-cv-edc-energy-bo-cagliari-604775977.htm,Renault Megane Sporter dCi 8V 110 CV EDC Energy Bo,12.500 €,03/2017,110000 Km,Diesel,Automatico,Euro 6,Station Wagon,"Km 110.000 certificati Immatricolazione: 03/2017
Alimentazione: Diesel
Cambio: Automatico
Colore : Nero
Interni : Pelle e tessuto nero
ABS
Fendinebbia
Airbag per la testa
Riconoscimento segnali stradali
Isofix
Airbag guida
Airbag passeggero
Controllo elettronico della stabilità
Controllo elettronico della trazione
Fari anteriori a LED
Luci diurne LED
Appoggiatesta posteriori
Correttore assetto fari
Vetri elettrici anteriori
Cambio automatico
Controllo automatico velocità
Retrovisori ripiegabili elettricamente
Sedile guida regolabile in altezza
Servosterzo
Tergilunotto
Vetri elettrici posteriori
Sensore pioggia
Volante multifunzione
Autoradio
Bluetooth
Navigatore satellitare
Touch screen
Vivavoce
Filtro anti particolato
Full Optional
Sensori di parcheggio posteriori
Sensori Anteriori
Telecamera posteriore
Tagliando 12 Mesi di Garanzia 
Finanziamenti personalizzati in sede 
Accettiamo il vostro usato in permuta 
 VENITE A TROVARCI IN VIALE MONASTIR 201

Per informazioni: 
Umberto Mostra numero Ufficio Mostra numero Whatsapp Mostra numero LA NEW SKY CAR
CERTIFICA IL CHILOMETRAGGIO DELL AUTO"
https://www.subito.it/auto/skoda-karoq-2-0-tdi-evo-style-115cv-dsg-cagliari-580009066.htm,SKODA Karoq 2.0 tdi evo Style 115cv dsg,28.450 €,09/2023,23422 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"SKODA Karoq 2.0 tdi evo Style 115cv dsg color Rosso Pastello del 2023.
La vettura è alimentata a Gasolio e ha un cambio Automatico."
https://www.subito.it/auto/opel-astra-1-7-cdti-125-cv-st-elective-2011-cagliari-547834865.htm,OPEL Astra 1.7 CDTI 125 CV ST Elective - 2011,5.900 €,03/2011,230000 Km,Diesel,Manuale,- (Emissioni),Station Wagon,"TAGLIANDI CERTIFICATI
INTERNI IN PELLE
KM CERTIFICATI

Km 230.000 certificati
Immatricolazione: 03 2011
Alimentazione: Gasolio
Cambio: Manuale
Colore : Grigio
Interni : Pelle e tessuto

Tagliando + 12 Mesi di Garanzia
Finanziamenti personalizzati in sede
Accettiamo il vostro usato in permuta

VENITE A TROVARCI IN VIALE MONASTIR 201

Per informazioni:
Umberto Mostra numero Ufficio Mostra numero Gianni Mostra numero LA NEW SKY CAR
CERTIFICA IL CHILOMETRAGGIO DELL AUTO INSERZIONATA
SU DICHIARAZIONE DI CONFORMITA' E SU FATTURA DI VENDITA.

N.B.
Il presente annuncio e' valido salvo errori di trascrizione,eventuali incongruenze descrittive , non rappresentano in alcun modo vincoli"
https://www.subito.it/auto/dacia-sandero-streetway-1-5-blue-dci-75-cv-s-s-com-cagliari-578658470.htm,Dacia Sandero Streetway 1.5 Blue dCi 75 CV S&S Com,9.900 €,01/2020,128000 Km,Diesel,Manuale,Euro 6,Berlina,"SENSORI DI PARCHEGGIO POSTERIORI
ATTACCHI ISOFIX
VEICOLO ADATTO A NEOPATENTATI
Km 128.000 certificati Immatricolazione: 01/2020 
Alimentazione: Diesel 
Cambio: Manuale
Colore : Blu
Interni : Tessuto
ABS
Airbag laterali
Chiusura centralizzata
Fendinebbia
Airbag passeggero
Appoggiatesta posteriori
Climatizzatore
Vetri elettrici anteriori
Volante regolabile
Retrovisori elettrici
Sedile guida regolabile in altezza
Servosterzo
Computer di bordo
Cambio manuale
Sedile posteriore sdoppiato
Sensori di parcheggio posteriori
Tagliando 12 Mesi di Garanzia 
Finanziamenti personalizzati in sede 
Accettiamo il vostro usato in permuta 
 VENITE A TROVARCI IN VIALE MONASTIR 201

Per informazioni: 
Umberto Mostra numero Ufficio Mostra numero Whatsapp Mostra numero LA NEW SKY CAR
CERTIFICA IL CHILOMETRAGGIO DELL AUTO"
