url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/ds-ds-3-1-2-vti-82-so-chic-cabrio-pisa-592176783.htm,Ds DS 3 1.2 VTi 82 So Chic Cabrio,7.900 €,03/2013,135000 Km,Benzina,Manuale,Euro 5,Cabrio,"S.L. Auto propone: 
Ds Ds3 Cabrio
Anno: 03/2013
Km: 135.000 
1.2 Benzina 82 Cv
Distribuzione eseguita a 90.000 km
Prima della consegna viene eseguito tagliando e lavaggio tappezzeria
Adatta a neopatentati 
Accessori: fendinebbia, cerchi in lega, sensori di parcheggio, comandi al volante, cruise control, clima automatico, navigatore, bluetooth e tanto altro.
Garanzia 12 mesi 
Importo finanziabile
Accetto permute
Leonardo: Mostra numero Ci troviamo a santa croce sull'Arno (pi) in via della libertà 1/c"
https://www.subito.it/auto/kia-sportage-1-6-tgdi-gpl-business-grosseto-604771838.htm,Kia Sportage 1.6 TGDi GPL Business,21.500 €,11/2022,63700 Km,Gpl,Manuale,Euro 6,SUV/Fuoristrada,"Kia Sportage 1.6 TGDi GPL Business
doppia alimentazione benzina / gpl
ottime condizioni generali 
garanzia della casa fino a Novembre 2029 o al raggiungimento dei km 150.000
interamente finanziabile 
per info ore ufficio Mostra numero - Mostra numero Alfredo Ercolani"
https://www.subito.it/auto/volkswagen-t-roc-1-0-tsi-style-110cv-pisa-582148123.htm,Volkswagen T-Roc 1.0 tsi style 110cv,25.000 €,06/2023,21484 Km,Benzina,Manuale,- (Emissioni),SUV/Fuoristrada,"[Rif. U-00973-VU17077]

Usato Certificato è il programma Usato dedicato ai veicoli usati certificati e garantiti.
Tutte le vetture sono sottoposte a 110 scrupolosi controlli che assicurano una verifica accurata di ogni singolo componente.

Le nostre auto sono vendute ""Così com'è"", ovvero nelle condizioni in cui sono esposte al pubblico dopo il processo di controllo, e comprendono sia vetture ripristinate dalla nostra carrozzeria che altre non sottoposte a ripristino.

Il prezzo pubblicizzato è valido con formula Progetto Valore Volkswagen o con altre forme di finanziamento con istituiti di credito utilizzati dalla nostra concessionaria.

Nonostante l'impegno di fornire informazioni puntuali e precise, eventuali errori o incongruenze relative alle caratteristiche segnalate nella scheda della vettura non hanno valore contrattuale."
https://www.subito.it/auto/ford-focus-sw-2013-autoccarro-firenze-597584400.htm,Ford focus sw 2013 Autoccarro,4.700 €,12/2013,182000 Km,Diesel,Manuale,Euro 5,Station Wagon,"Vendo ford per il motivo cambio cc di una nuova auto.
Revisione fatta regolare
Cambio cinghia di distribuzione nel 2021 a 153000 km.
Cambiato kit dell frezione dicembre 2024 dalla ford autosas.
Tagliando fatto ogni 10000 km . 
Mantenuta benissimo. Nessun difetto nel motore o impianto elettrico."
https://www.subito.it/auto/renault-clio-1-2-75cv-gpl-5-porte-arezzo-604773892.htm,Renault Clio 1.2 75CV GPL 5 porte,6.990 €,01/2015,162000 Km,Gpl,Manuale,Euro 5,Berlina,"Autovettura in eccellenti condizioni!!!

UN PRECEDENTE PROPRIETARIO, MANUTENZIONE REGOLARE E CERTIFICATA, SCADENZA GPL MAGGIO 2035, DISTRIBUZIONE ESEGUITA, CHILOMETRAGGIO CERTIFICATO E GARANTITO!!!

AUTOMOBILIARE ITALIANA OFFRE I SEGUENTI SERVIZI :

- Lavaggio tappezzeria interna incluso nel prezzo

- Possibilità di finanziamento personalizzato con rata fissa

- Possibilità di ritiro permuta della tua auto usata

- Possibilità di prova su strada salvo richiesta di appuntamento specifica

Pneumatici anteriori al 70% posteriori al 70%!!!

CARROZZERIA: ottima, mai subito sinistri rilevanti con certificazione. Molto ben tenuta, nel complesso sana e precisa in ogni dettaglio.

INTERNI: lavati e sanificati a vapore, proprietario non fumatore, come tutta la vettura anche gli interni sono in ottime condizioni. Prima della consegna viene eseguito trattamento antibatterico a norma di legge!!!

Per tutti i clienti che acquistano una vettura o un veicolo commerciale, 12 MESI DI GARANZIA, valida su tutto il territorio nazionale e senza vincoli di assistenza!!!

Importo finanziabile in comode e personalizzate rate mensili, anche senza anticipo a tassi molto competitivi!!!

AUTOMOBILIARE ITALIANA consiglia sempre, in base alle specifiche esigenze, di verificare con il proprio staff commerciale la dotazione tecnica e gli optional indicati (che non rappresentano un impegno contrattuale) per evitare eventuali incongruenze delle quali non si ritiene responsabile.

I CONTATTI:
TELEFONO: GIULIA Mostra numero - FEDERICO Mostra numero WEB: WWW.AUTOMOBILIAREITALIANA.IT
EMAIL: INFO@AUTOMOBILIAREITALIANA.IT

I FINANZIAMENTI:
TUTTI GLI IMPORTI SONO FINANZIABILI IN COMODE RATE MENSILI (DA 12 A 84 MESI) ANCHE SENZA ANTICIPO

I SERVIZI:
ACQUISTO AUTOVETTURE E VEICOLI COMMERCIALI
SERVIZIO DI TRASPORTO DALLA STAZIONE FERROVIARIA DI AREZZO ALLA NOSTRA SEDE
CONSEGNA E RITIRO AUTOVETTURA IN GIORNATA
CONSEGNA DELLA VOSTRA NUOVA AUTO DIRETTAMENTE A DOMICILIO
Più FOTO VI"
https://www.subito.it/auto/audi-a3-iv-2020-sportback-35-1-5-tfsi-mhev-s-prato-601128386.htm,Audi A3 IV 2020 Sportback 35 1.5 tfsi mhev s-...,26.990 €,05/2022,33054 Km,Ibrida,Automatico,Euro 6,Berlina,"DEK:[9562243]
Codice ID DMS: U128161"
https://www.subito.it/auto/hyundai-kona-1s-2017-23-kona-hev-1-6-dct-x-firenze-604689711.htm,HYUNDAI Kona 1ªs. (2017-23) Kona HEV 1.6 DCT X...,22.900 €,2023,106565 Km,Ibrida,Automatico,Euro 6,SUV/Fuoristrada,"[QuattroruotePro:683de9f69476d]

*
*EQUIPAGGIAMENTO ESTERNO
*
*Barre  longitudinali
*Cerchi in lega
*Chiusura centralizzata con telecomando
*Fari fendinebbia
*Keyless System
*Sensori di parcheggio posteriori
*Telecamera posteriore
*Vetri oscurati
*
*EQUIPAGGIAMENTO INTERNO
*
*Attacchi ISOFIX
*Alzacristalli elettrici 4
*Autoradio
*Bracciolo anteriore
*Climatizzatore automatico
*Computer di bordo
*Controllo vocale
*Cruise Control
*Interfaccia Bluetooth
*Interfaccia USB
*Interni in  tessuto
*LDW - Controllo elettronico della corsia
*Leve al volante
*Navigatore
*Sedili posteriori frazionati
*Sensore luce
*Sensore pioggia
*Sensore temperatura esterna
*Specchietti ripiegabili elettricamente
*TPMS - Monitoraggio pressione pneumatici
*Touch screen
*Volante in pelle
*Volante multifunzione

Al fine di evitare eventuali sviste e/o omissioni Vi preghiamo di contattarci per ricevere ulteriori informazioni sugli optional del veicolo."
https://www.subito.it/auto/lotus-eletre-base-firenze-598754020.htm,LOTUS Eletre BASE,84.500 €,05/2025,,Elettrica,Automatico,- (Emissioni),Berlina,"Chilometraggio: 0
Condizioni: nuovo
Immatricolazione: 05/2025
Tipologia: 4/5-Porte
Carburante: Elettrica
Tipo di cambio: Automatico

Climatizzatore, Controllo automatico clima, Lettore CD, Regolazione elettrica sedili


Rivenditore PERAGNOLI SCAR SRL"
https://www.subito.it/auto/dacia-jogger-1-0-tce-110-cv-7-posti-extreme-arezzo-594277025.htm,Dacia Jogger 1.0 TCe 110 CV 7 posti Extreme,18.900 €,06/2022,46344 Km,Benzina,Manuale,Euro 6,Monovolume,"DEK:[7633145]
 Dacia Jogger 1.0 TCe 110 CV 7 posti Extreme"
https://www.subito.it/auto/honda-cr-v-2-0-hev-ecvt-elegance-arezzo-602720601.htm,Honda CR-V 2.0 Hev eCVT Elegance,41.900 €,2025,,Ibrida,Automatico,Euro 6,SUV/Fuoristrada,"Veicolo nuovo non immatricolato. 

DEK:[9608457]
in arrivo"
