url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/hyundai-i40-wagon-1-7-crdi-136cv-style-trento-604770626.htm,Hyundai i40 Wagon 1.7 CRDi 136CV Style,6.500 €,03/2013,158000 Km,Diesel,Manuale,Euro 5,Station Wagon,Hyundai i40 1. Crdi 140 Cv Sw 158 Mila km Classe emissione Euro5B auto Appena tagliandata e revisionata molto comoda e spaziosa ideale per famiglie numerose e viaggi rilassanti dotata di tantissimi opt come in foto VENDUTA CON CERTIFICATO DI 12 mesi DI GARANZIA EUROPEA per inf Mostra numero
https://www.subito.it/auto/lancia-fulvia-montecarlo-trento-604758463.htm,Lancia Fulvia Montecarlo,17.900 €,06/1970,10000 Km,Benzina,Manuale,- (Emissioni),Altro,"Lancia Fulvia Montecarlo perfetta sia di estetica che di meccanica, con tutti i documenti in regola."
https://www.subito.it/auto/ford-focus-per-neopatentati-trento-604767626.htm,Ford Focus per neopatentati,3.550 €,01/2008,194181 Km,- (Carburante),- (Cambio),- (Emissioni),- (Tipologia),"Vendo perché non uso più 
La macchina è per neopatentati e ha le luci automatiche, inoltre ha i cerchi in lega e in più 4 cerchi con gomme invernali nuove! Meccanica top e anche carrozzeria niente male 
È 1.6 diesel 
Per altre info chiamatemi al 3804661081"
https://www.subito.it/auto/fiat-panda-1-1-fire-4x4-4wd-trento-604769079.htm,Fiat panda 1.1 fire 4x4 4wd,4.700 €,03/1993,160000 Km,Benzina,Manuale,- (Emissioni),Utilitaria,"Vendo FIAT PANDA 1.1 BENZINA 4X4 4WD in ottime condizioni. Autovettura funzionante. Motore ok. Meccanica in ordine. Carrozzeria in buono stato. Anno 1993. KM 160.000

Per qualsiasi info chiamare Andrea 393 7877978"
https://www.subito.it/auto/fiat-panda-1-2-city-cross-trento-604758440.htm,Fiat Panda 1.2 City Cross,10.900 €,11/2018,108000 Km,Benzina,Manuale,Euro 6,Berlina,"Fiat Panda 1.2 City Cross - Gialla - 108.000 km - Immatricolata 11/2018 
Vendo Fiat Panda 1.2 City Cross, colore giallo brillante, immatricolata a novembre 2018, con 108.000 km.
Auto in ottime condizioni, sempre tagliandata, pronta per la strada e con 12 mesi di GARANZIA INCLUSA!
 Caratteristiche principali:
Motore: 1.2 benzina - perfetta per neopatentati

Chilometraggio: 108.000 km

Immatricolazione: Novembre 2018

Colore: Giallo (originale, molto visibile e giovanile)

Cambio: Manuale

Trazione: Anteriore

Classe ambientale: Euro 6B

 Manutenzione e condizioni:
Tagliandi regolari

Meccanica e carrozzeria in ottimo stato

Gomme in buone condizioni

Nessun intervento necessario

 Dotazioni principali:
Climatizzatore

Fendinebbia

Barre portatutto

Chiusura centralizzata con telecomando

Bluetooth / USB

Alzacristalli elettrici anteriori

Interni curati

 Perfetta per:
Neopatentati

Uso urbano e quotidiano

Chi cerca un'auto economica, affidabile e con stile

 Visibile a: Mezzocorona (TN)
 Prezzo: €10.900 
 Tel: Mostra numero Email: celine@carrozzeriamauretto.it
 Disponibile per visione e prova su strada su appuntamento.
No perditempo, grazie."
https://www.subito.it/auto/volkswagen-passat-8-serie-2018-trento-604768531.htm,VOLKSWAGEN Passat 8ª serie - 2018,16.000 €,04/2018,140000 Km,Diesel,Automatico,- (Emissioni),Station Wagon,VENDO PER INUTILIZZO
https://www.subito.it/auto/smart-fortwo-600-coupe-bolzano-599128681.htm,SMART Fortwo 600 coupe,2.900 €,09/2000,75000 Km,Benzina,Sequenziale,Euro 3,Utilitaria,"Causa mutate esigenze famigliari, vendo bellissima Smart Fortwo 600 Coupé 40 kW, revisionata e tagliandata, motore con 75.000 km dimostrabili, interni perfetti puliti ed igienizzati da professionista, tappetini nuovi compreso baule, gomme nuove 4 stagioni, scarico finale Brabus con spoiler in carbonio, tetto panoramico, autoradio Blaupunkt. Carrozzeria appena verniciata in nero opaco/argento metallizzato da carrozzeria professionale. Prezzo minimamente trattabile SOLO dopo visione e prova. Revisione valida fino a 03/2027, bollo pagato. Non sono interessato a permute, astenersi commercianti, no offerte ridicole. 
VENITE A VEDERLA ED A PROVARLA NON VE NE PENTIRETE. Visibile a Bolzano città, sempre ricoverata in box privato. Grazie."
https://www.subito.it/auto/panda-4x4-country-club-trento-604770298.htm,Panda 4x4 country club,5.500 €,08/1992,185000 Km,Benzina,Manuale,- (Emissioni),Utilitaria,"Panda 4x4 revisionata 2024. Lavori eseguiti frizione nuova, cambio revisionato, trasmissione ok, spinterogeno nuovo, cuffie semiasse nuove, pinze freni nuove, guarnizione coperchio punterie nuova, carrozzeria in buono stato."
https://www.subito.it/auto/audi-a3-trento-604777090.htm,Audi a3,1.750 €,05/2010,211000 Km,Diesel,Manuale,Euro 5,- (Tipologia),Audi a3 quattro s line tetto apivile incidentata fatto la cinghia e pompa aqua e altri lavori con fattura dimostavile vendo al miglior offerente
https://www.subito.it/auto/audi-a6-3-0-tdi-competition-trento-604769163.htm,Audi A6 3.0 TDI Competition,22.000 €,05/2016,168000 Km,Diesel,Sequenziale,Euro 6,Station Wagon,"Auto bellissima e tremendamente veloce, full optional, tetto panoramico, doppio treno gomme e cerchi invernale-estivo, eliminato il FAP, cambio appena tagliandato, sound booster.
L'auto è visibile a Trento durante la settimana presso l'officina del proprietario. Perfavore astenersi affaristi, il prezzo è più che onesto."
