url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/opel-corsa-1-2-gs-perugia-602066631.htm,Opel Corsa 1.2 GS,15.900 €,02/2024,13130 Km,Benzina,Manuale,Euro 6,Berlina,"DEK:[9402539]
AZIENDALE

IVA DEDUCIBILE

Per ulteriori informazioni contattare:
Sig. Raffaele Tel. Mostra numero anche WhatsApp."
https://www.subito.it/auto/porsche-panamera-3-0-diesel-perugia-604753186.htm,Porsche panamera 3.0 diesel,27.000 €,11/2012,200000 Km,Diesel,Automatico,Euro 5,Berlina,"AUTO COME NUOVA, TENUTA IN MODO MANIACALE, PERFETTA IN TUTTO, SUPER TAGLIANDATA DA POCHISSIMO TEMPO, RUOTE DA 19 "" E DA 21"", FULL OPTIONALS, PER INFORMAZIONI 338 969 6923"
https://www.subito.it/auto/mercedes-benz-c-220-c-220-d-auto-4matic-coupe-prem-perugia-581151435.htm,Mercedes-benz C 220 C 220 d Auto 4Matic Coupé Prem,34.500 €,12/2022,149600 Km,Diesel,Automatico,Euro 6,Coupé,"Auto pari al nuovo 

Unico precedente proprietario 

Tagliandi ufficiali Mercedes 

iva esposta compresa nel prezzo 

siamo disponibli a qualsiasi controllo e prova anche presso il centro Mercedes 

Perfetta in tutte le sue parti 

Tetto apribile e panoramico 

versione premium plus il top di gamma 

Valutiamo il ritiro del vostro usato

Possibilità di finanziamento anche per l'intero importo con varie soluzioni personalizzabili 

Venite a trovarci presso la nostra sede di Foligno ne saremo lieti  

Diego Mostra numero"
https://www.subito.it/auto/lancia-y-diva-2010-gpl-unico-proprietario-perugia-604773934.htm,Lancia Y Diva 2010 GPL UNICO PROPRIETARIO,3.600 €,10/2010,150000 Km,Gpl,Manuale,- (Emissioni),- (Tipologia),"Lancia y diva anno di immatricolazione 2010
Impianto gpl di serie regolarmente sostituito (vedi libretto di circolazione)
Meccanica perfetta 
Km 150.000
Cilindrata 1400 Gpl di serie 
Presenta difetti da usura avendola avuta per 15 anni, unico proprietario."
https://www.subito.it/auto/fiat-500x-marzo-2023-terni-604760447.htm,Fiat 500x Marzo 2023,21.500 €,03/2023,21500 Km,Diesel,Manuale,Euro 6,SUV/Fuoristrada,"Salve vendo Fiat 500x Hatchback My22 1.3 Multijet 95cv City Cross, colore grigio moda metallizzato.La macchina è in ottime condizioni generali, minisuv Euro 6 con assicurazione Fiat MAXIMUM CARE fino al 2028 ( già pagata)."
https://www.subito.it/auto/fiat-panda-0-9-twinair-turbo-4x4-gpl-perugia-603269191.htm,FIAT Panda 0.9 TwinAir Turbo 4x4 + GPL,13.500 €,02/2017,66400 Km,Gpl,Manuale,Euro 6,Berlina,"Chilometraggio: 66400
Condizioni: usato
Immatricolazione: 02/2017
Tipologia: 4/5-Porte
Carburante: Benzina/GPL
Tipo di cambio: Manuale

ABS, Airbag, Airbag Passeggero, Airbag testa, Alzacristalli elettrici, Autoradio, Bluetooth, Cerchi in lega, Chiusura centralizzata, Climatizzatore, Controllo trazione, ESP, Fendinebbia, Immobilizzatore elettronico, Servosterzo, Specchietti laterali elettrici

MARCHIAUTO

CONCESSIONARIA UFFICIALE Dal 1965
ALFA ROMEO - FIAT - LANCIA - ABARTH - JEEP SERVICE - PROFESSIONAL

AUTO VISIBILE PRESSO LE NOSTRE SEDI

Per Informazioni non esitare a contattarci:

MarchiAuto: Mostra numero (Anche WhatsApp)

 
- FINANZIABILE PER L'INTERO IMPORTO - 
- GARANZIA 12 MESI ESTENDIBILE FINO A 36 - 
- TAGLIANDO INCLUSO - 
- DA AGGIUNGERE AL PREZZO ESPOSTO PASSAGGIO DI PROPRIETA' - 


 * VALUTIAMO IL RITIRO USATO
 * PER EVITARE ERRORI DOVUTI AL SISTEMA AUTOMATICO DI INSERZIONE DEGLI OPTIONAL , VI INVITIAMO A VERIFICARNE L'EFFETTIVA PRESENZA DI PERSONA O CON IL NOSTRO STAFF

N.B. TUTTI I NOSTRI VEICOLI SONO SANIFICATI INTERNAMENTE ED HANNO LA PERCORRENZA CERTIFICATA, LA STESSA VIENE DICHIARATA IN FATTURA 
 
VISITA IL NOSTRO SITO INTERNET 
sitoweb

Contatti: Mostra numero , Mostra numero Rivenditore MARCHI AUTO"
https://www.subito.it/auto/alfa-romeo-stelvio-2-0-turbo-280-cv-at8-q4-first-terni-603826248.htm,ALFA ROMEO Stelvio 2.0 Turbo 280 CV AT8 Q4 First,24.900 €,03/2017,122900 Km,Benzina,Automatico,Euro 6,SUV/Fuoristrada,"Chilometraggio: 122900
Condizioni: usato
Immatricolazione: 03/2017
Tipologia: Fuoristrada
Carburante: Benzina
Tipo di cambio: Automatico

ABS, Airbag, Airbag laterali, Airbag Passeggero, Airbag testa, Autoradio, Autoradio digitale, Bluetooth, Bracciolo, Cerchi in lega, Chiusura centralizzata, Climatizzatore, Climatizzatore automatico, 2 zone, Controllo elettronico della corsia, Controllo trazione, Cruise Control, ESP, Fari Xenon, Fendinebbia, Frenata d'emergenza assistita, Immobilizzatore elettronico, Interni in pelle, Regolazione elettrica sedili, Sensore di luce, Sensore di pioggia, Sensori di parcheggio posteriori, Servosterzo, Sistema di navigazione, Specchietti laterali elettrici, Telecamera per parcheggio assistito, Trazione integrale, USB, USB - AUXin

POSSIBILITA' DI GARANZIA FINO A + 3 ANNI CON FINANZIAMENTO FCA BANK

 PUOI VEDERE TUTTO IL NOSTRO PARCO AUTO ANCHE SUL SITO: sitoweb

ANNUNCIO VALIDO SALVO ERRORI DI TRASCRIZIONE

************************************************** 

SIAMO FACILMENTE RAGGIUNGIBILI:
a 2 min DAL CASELLO A1 USCITA di ORVIETO
a 5 min DALLA STAZIONE FERROVIARIAARIA
Rivenditore COAR srl"
https://www.subito.it/auto/panda-1-2-benzina-terni-604771510.htm,Panda 1.2 benzina,5.900 €,02/2016,165000 Km,Benzina,Manuale,Euro 6,Utilitaria,"Fiat panda 1.2 benzina anno 2016, km 165mila, aria condizionata, vetri elettrici, gommata bene e revisionata. Qualche piccolo graffio di poca rilevanza.. 
L'auto è visibile presso la concessionaria ANTONIOAUTO in via Narni 264 (TR)."
https://www.subito.it/auto/volkswagen-touran-2-0-tdi-115-cv-dsg-unico-proprie-perugia-603288478.htm,Volkswagen Touran 2.0 TDI 115 CV DSG UNICO PROPRIE,19.800 €,07/2020,95600 Km,Diesel,Automatico,Euro 6,Monovolume,"Auto in ottime condizioni generali , Tagliandi certificati presso centro volkswagen con fatture dei lavori svolti ""UNICO PROPRIETARIO"" 
IVA DEDUCIBILE COMPRESA NEL PREZZO ESPOSTO
Valutiamo il ritiro del vostro usato e
Offriamo:
Verifica a distanza
Non puoi venire subito? Richiedi:
Foto aggiuntive
Video dettagliati
Videochiamata dal vivo con un nostro venditore per visionare l'auto nei minimi particolari

Garanzie estese fino a 60 mesi
Copertura totale in caso di guasti, inclusi:
Parti meccaniche ed elettroniche
Cambio e motore
Soccorso stradale h24

Trasparenza e qualità garantite

Tutte le nostre auto sono pubblicate con targa visibile.
Dichiarazione del chilometraggio effettivo su atto di vendita, fattura e certificato di conformità.
Prova e visione della vettura con il tuo meccanico di fiducia presso la nostra sede.
Auto selezionate e preparate da specializzati per offrirti il miglior servizio.

Venite a trovarci presso la nostra sede di Foligno ne saremo lieti

Diego Mostra numero"
https://www.subito.it/auto/lancia-musa-1-3-multijet-16v-70-cv-oro-perugia-604838099.htm,Lancia MUSA 1.3 Multijet 16V 70 CV Oro,4.500 €,01/2010,160000 Km,Diesel,Manuale,Euro 4,Monovolume,"Vendo Lancia Musa con motore 1.3 mjet 70 CV a catena 
Perfettamente funzionante in buone condizioni generali 
Prezzo escluso il passaggio di proprietà"
