model,0
panda,4086
500,3037
ypsilon,2101
golf,1893
500x,1826
c3,1727
renegade,1658
clio,1494
a3,1446
corsa,1393
fiesta,1356
polo,1347
208,1260
punto,1245
fortwo,1195
500l,1184
2008,1179
compass,1158
yaris,1134
qashqai,1100
focus,1071
3008,1057
a4,1051
tipo,956
kuga,905
q3,903
t-roc,855
x1,790
tiguan,751
romeo giulietta,746
mokka,727
romeo stelvio,727
captur,715
puma,701
cooper,700
sportage,591
q5,591
astra,582
308,581
a6,558
a1,534
ecosport,520
x3,517
juke,510
c3 aircross,500
tucson,492
countryman,487
grande punto,480
romeo mito,441
aygo,434
q2,431
t-cross,425
rover range rover,416
micra,387
a5,368
doblo,353
megane,346
forfour,343
twingo,342
meriva,333
passat,331
romeo giulia,324
musa,323
c-max,311
macan,302
i10,284
ibiza,280
c1,271
rover discovery sport,269
c4,268
up,266
fabia,265
crossland,265
x5,264
i20,262
panda cross,261
scenic,259
207,259
bravo,252
ka,251
qubo,248
c-hr,245
x2,239
leon,238
zs,237
one,237
cayenne,236
5008,231
x4,230
arona,229
picanto,224
delta,220
kadjar,219
swift,218
taigo,216
kona,214
xc40,214
tt,203
e-pace,198
911,194
c5 aircross,185
romeo tonale,183
octavia,177
vitara,177
grandland x,176
c3 picasso,173
kamiq,166
rover range rover sport,166
v40,164
wrangler,163
jimny,163
xc60,160
stonic,159
clubman,154
f-pace,154
206,153
touran,153
rover defender,150
romeo 159,148
rio,144
rav4,144
sedici,143
107,142
zafira,140
crossland x,140
adam,139
rover range rover velar,138
cherokee,136
b-max,134
x-trail,132
grand vitara,131
q8,130
grand cherokee,128
kangoo,127
panda 4x4,125
ranger,125
levante,123
insignia,122
c4 picasso,121
x6,120
grandland,119
108,119
rover freelander,118
z4,116
freemont,116
c4 cactus,114
idea,114
508,112
s-max,111
cooper s,110
ghibli,110
romeo 147,103
cx-5,103
modus,102
berlingo,101
cx-3,101
corolla,100
ignis,99
arkana,99
multipla,97
ix20,94
terios,94
agila,93
ateca,93
karl,92
v60,91
ix35,89
i30,87
karoq,84
l200,84
mondeo,84
spark,81
aygo x,80
caddy,80
partner,79
cx-30,79
rover discovery,78
jazz,78
pajero,76
panamera,76
croma,75
q3 sportback,74
xf,73
civic,71
new beetle,69
cr-v,69
s3,68
xceed,67
v50,67
3,64
touareg,63
c5,63
auris,62
c2,62
model 3,62
bayon,62
mx-5,61
aveo,61
kodiaq,61
venga,61
307,60
xe,60
sx4,60
santa fe,60
q7,59
captiva,59
zoe,57
xc90,56
asx,56
stilo,55
z3,54
boxster,54
grecale,53
transit,53
romeo 156,53
xv,53
navara,52
antara,52
space star,51
niro,50
forester,50
land cruiser,49
tarraco,49
fusion,49
id.3,48
sorento,48
nemo,48
a7,47
q5 sportback,47
ceed,46
hr-v,45
note,45
zafira tourer,45
rs3,45
impreza,45
espace,44
romeo gt,44
colt,43
a8,42
cayman,41
multivan,41
vivaro,39
transit connect,39
verso,39
rover evoque,38
leaf,38
edge,38
rifter,37
galaxy,37
2,37
romeo spider,37
scala,37
ux,37
romeo gtv,37
lodgy,36
iq,35
mustang,35
x-type,34
combo,34
ducato,34
mii,33
grand c4 picasso,33
tourneo connect,33
trafic,33
romeo brera,32
outlander,32
koleos,32
dokker,31
cruze,30
superb,30
scirocco,30
i3,30
fiesta active,30
124 spider,30
thema,29
f-type,29
yeti,29
grand scenic,28
nx,28
talisman,28
jogger,27
splash,26
carens,26
terrano,26
s60,26
407,26
9-3,25
model y,25
grand c4 spacetourer,25
m3,24
rs6,24
astra gtc,24
austral,24
quattroporte,24
6,24
m4,24
soul,23
c3 pluriel,23
hilux,22
focus active,22
sharan,22
spring,22
altea,22
c4 spacetourer,22
patrol,22
id.4,21
urus,21
718 cayman,21
a2,21
ds3,21
a1 citycarver,20
i40,20
outback,19
alto,19
coupe,19
romeo 166,19
laguna,19
orlando,19
citigo,19
f430,19
pt cruiser,19
roomster,18
x4 m,18
rs q3,18
ioniq,18
taycan,18
s5,17
celerio,17
ix1,17
r8,17
model s,17
alhambra,17
v90,17
traveller,17
strada,17
1007,16
amarok,16
fox,16
getz,16
voyager,16
m2,16
xj,16
xsara picasso,16
phedra,16
altea xl,16
nitro,16
h3,15
california,15
c30,15
q4,15
eclipse cross,15
mustang mach-e,15
patriot,15
5,15
v70,15
tigra,15
s4,15
saxo,15
lupo,15
continental gt,14
lybra,14
jumper,14
proceed,14
cx-60,14
sirion,14
q30,14
sq5,14
d-max,13
combo life,13
transporter,13
cx-7,13
twizy,13
corolla verso,13
avensis,13
s1,13
c4 aircross,13
ram 1500,12
atos prime,12
a1 allstreet,12
galloper,12
viano,12
trax,12
cooper cabrio,12
s6,12
murano,12
matiz,12
v60 cross country,12
baleno,12
spacetourer,11
s-type,11
360,11
x5 m,11
frontera,11
boxer,11
pathfinder,11
romeo 4c,10
s90,10
i20 n,10
is,10
caliber,10
600e,10
tts,10
xc70,10
c-crosser,10
sq8,10
xsara,10
model x,10
rc,10
408,10
camaro,9
x7,9
cooper s cabrio,9
gallardo,9
4007,9
roadster,9
marea,9
sq2,9
corolla cross,9
458,9
pajero pinin,9
celica,9
expert,9
ioniq 5,9
i-pace,8
townstar,8
thesis,8
i8,8
huracan,8
legacy,8
#1,8
ariya,8
348,8
jumpy,8
c8,8
ct,8
eqa,7
296,7
justy,7
s80,7
eos,7
arteon,7
e-tron,7
wrx,7
corvette,7
x6 m,7
718 boxster,7
tt rs,7
ulysse,7
continental gtc,7
tf,7
impreza wrx,7
carnival,7
rs q8,7
yaris verso,7
h2,6
ex30,6
explorer,6
vectra,6
i4,6
lancer,6
323,6
mx-30,6
c4 x,6
passat cc,6
300,6
arosa,6
romeo 146,6
