url,brand_model,price,year,mileage,fuel_type,transmission,emission_standard,body_type,description
https://www.subito.it/auto/renault-clio-1-5-dci-5-porte-navigatore-cruise-con-potenza-603539605.htm,Renault Clio 1.5 dCi 5 porte Navigatore/Cruise con,7.490 €,01/2016,192000 Km,Diesel,Manuale,Euro 6,Berlina,"AUtovettura bella e compatta, spaziosa ed accessoriata
Consumi e manutenzione molto economici
Navigatore
Cruise Control
Cerchi in lega
Comandi al volante 
Sistema vivavoce bluetooth
Finanziabile

Visibile presso la nostra sede di Lavello (PZ)"
https://www.subito.it/auto/ford-fiesta-5p-1-0-ecoboost-h-titanium-125cv-matera-592373522.htm,FORD Fiesta 5p 1.0 ecoboost h titanium 125cv,15.450 €,07/2022,30997 Km,Ibrida,Manuale,Euro 6,Berlina,"FORD Fiesta 5p 1.0 ecoboost h titanium 125cv color RACE RED del 2022.
La vettura è alimentata a Ibrida e ha un cambio Manuale.
Offerta valida per l'acquisto di una vettura usata o km0 presso Autoteam S.p.A. I prezzi sono da considerarsi passaggio di proprietà, spese di agenzia escluse. Offerta vincolata ad acquisto di StarterPack (kit triangolo, giubbino, f-code) per €250,00. Salvo errori e/o omissioni. Il prezzo indicato è legato alle promozioni e alle iniziative Autoteam. In alcuni casi, la dotazione tecnica e gli optional potrebbero differire, pertanto è consigliabile contattare i nostri consulenti al numero Mostra numero"
https://www.subito.it/auto/smart-fortwo-1000-52-kw-mhd-coupe-pulse-potenza-603764332.htm,SMART ForTwo 1000 52 kW MHD coupé pulse,6.900 €,04/2014,98497 Km,Benzina,Sequenziale,Euro 5,Utilitaria,"Chilometraggio: 98497
Condizioni: usato
Immatricolazione: 04/2014
Tipologia: 2/3-Porte
Carburante: Benzina
Tipo di cambio: Sequenziale

ABS, Airbag, Airbag Passeggero, Alzacristalli elettrici, Autoradio, Boardcomputer, Cerchi in lega, Chiusura centralizzata, Climatizzatore, Controllo trazione, ESP, Fendinebbia, Immobilizzatore elettronico, Lettore CD, Tetto panorama, USB

Smart ForTwo 1000 52 kW,71cv, versione MHD, cambio automatico, sequenziale e con palette al volante, immatricolata il 18 04 2014 con 98485 km dimostrabili, gomme al 90 %.

Contatti: 097155543 , Mostra numero Rivenditore AUTOMOBILI TANCREDI ROCCO & C SNC"
https://www.subito.it/auto/peugeot-2008-puretech-100-s-s-allure-pack-km0-potenza-580893210.htm,Peugeot 2008 PureTech 100 S&S Allure Pack-Km0-,23.300 €,- (Mese/Anno),,Benzina,Manuale,Euro 6,SUV/Fuoristrada,"Peugeot New 2008 1.2 Pure Tech Allure 100 Cv cambio 6 marce manuale ... KM0, colore esterno Blu Vertigo metallizzato interni Tessuto Casual Lomsa cuciture Quartz ... Full Optional versione top nell' allestimento Allure , ambiente luci Led interno/ proiettori led esterni , clima automatico, sensori parcheggio anteriori e posteriori, Winter Pack e Vision Pack, Bluetooth, cerchi in lega da 17 diamantati Karakoy, barre tetto nero brillante , vetri posteriori oscurati ... Peugeot 2008 si contraddistingue per la sua robustezza, stile deciso, tecnologia di bordo meccanica moderna e grande mobilità su tutti i terreni, Suv spazioso che soddisfa ogni tua esigenza ... nuova versione aggiornata ... disponibile in sede pronta consegna"
https://www.subito.it/auto/bmw-320d-coupe-potenza-604770668.htm,Bmw 320d coupe,9.000 €,11/2008,220000 Km,Diesel,Manuale,Euro 4,Coupé,"BMW 320D coupe 
anno: 2008
km: 220.000
motorizzazione: 2.0 
cv: 177 + stage 2= 230cv
egr off?
downpipe?
LAVORI ESEGUITI:
kit catena distribuzione aggiornata fatta per precauzione, frizione entrambe a 185.000 km
pompa acqua nuova
collettore di aspirazione modificato senza swirl
tagliandata ogni 10/12 mila km.
per altre info, contattare.?"
https://www.subito.it/auto/bmw-x1-xdrive20d-xline-head-up-display-tetto-matera-602809977.htm,BMW X1 xDrive20d xLine Head Up Display Tetto,26.899 €,10/2020,128770 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"PROMO VALIDA FINO 30 06 2025!!!

FATTURABILE, IMPORTO FINANZIABILE.

NEL PREZZO INDICATO NON È INCLUSO IL TRASFERIMENTO DI PROPRIETÀ.
N.B. A tutela della nostra clientela informiamo che tutte le vetture da noi inserzionate sono realmente disponibili presso il nostro autosalone, di conseguenza garantiamo l'autenticità delle fotografie e dei prodotti di cui disponiamo, prendendo le distanze da chi con poca chiarezza pubblicizza merce (destabilizzandone la concorrenza e il mercato) non avendone il possesso.
Per qualsiasi altra autovettura desideriate siamo pronti a un preventivo fatto su misura.
N.B. I dati e le descrizioni dei nostri annunci possono contenere omissioni e o errori, si prega quindi di verificare sia la disponibilità dell'auto che la correttezza dei dati inseriti. Prima dell'acquisto, le vetture devono essere visionate e provate per evitare spiacevoli disguidi presso la nostra sede in Bernalda (MT), via Della Concordia sn.
LA STIGLIANO TRADE S.R.L.S. SOCIO UNICO NON SI ASSUME NESSUNA RESPONSABILITÀ PER TALI ERRORI.
Per visionare ulteriori foto e offerte delle nostre autovetture, visita il nostro sito: WWW.STIGLIANOAUTO.IT"
https://www.subito.it/auto/mercedes-classe-b200-potenza-604771815.htm,Mercedes classe B200,1.500 €,08/2008,278507 Km,Diesel,Manuale,Euro 4,Berlina,"Si vende Mercedes classe B200 140cv (103kw) con 278.507 km, ultimo tagliando effettuato a febbraio 2025, la macchina presenta una lieve perdita di olio e il clima non funziona, di carrozzeria presenta qualche imperfezione.
La macchina si vende vista e piaciuta nello stato in cui si trova, per ulteriori informazioni contattare Leonardo ai numeri 330.354754 / 366.5437415 prezzo trattabile, disponibile per qualsiasi prova."
https://www.subito.it/auto/volkswagen-polo-2017-1-4-90cv-diesel-unicoproprie-potenza-604769606.htm,Volkswagen Polo 2017 1.4 90cv diesel unicoproprie,7.500 €,03/2017,99999 Km,Diesel,Manuale,Euro 6,Berlina,"Volkswagen Polo 2017 1.4 90cv diesel unicoproprietario bollo e revisione effettuate, graffi da città vista e piaciuta turbina da riparare"
https://www.subito.it/auto/jeep-renegade-1-6-mjt-130cv-limited-tetto-nero-matera-603705529.htm,JEEP Renegade 1.6 Mjt 130CV Limited TETTO NERO,20.899 €,03/2023,58406 Km,Diesel,Manuale,Euro 6,SUV/Fuoristrada,"PROMO VALIDA FINO 30 06 2025!!!

FATTURABILE, IMPORTO FINANZIABILE.

NEL PREZZO INDICATO NON È INCLUSO IL TRASFERIMENTO DI PROPRIETÀ.
N.B. A tutela della nostra clientela informiamo che tutte le vetture da noi inserzionate sono realmente disponibili presso il nostro autosalone, di conseguenza garantiamo l'autenticità delle fotografie e dei prodotti di cui disponiamo, prendendo le distanze da chi con poca chiarezza pubblicizza merce (destabilizzandone la concorrenza e il mercato) non avendone il possesso.
Per qualsiasi altra autovettura desideriate siamo pronti a un preventivo fatto su misura.
N.B. I dati e le descrizioni dei nostri annunci possono contenere omissioni e o errori, si prega quindi di verificare sia la disponibilità dell'auto che la correttezza dei dati inseriti. Prima dell'acquisto, le vetture devono essere visionate e provate per evitare spiacevoli disguidi presso la nostra sede in Bernalda (MT), via Della Concordia sn.
LA STIGLIANO TRADE S.R.L.S. SOCIO UNICO NON SI ASSUME NESSUNA RESPONSABILITÀ PER TALI ERRORI.
Per visionare ulteriori foto e offerte delle nostre autovetture, visita il nostro sito: WWW.STIGLIANOAUTO.IT"
https://www.subito.it/auto/land-rover-range-rover-velar-2-0-i4-s-240-cv-matera-603388982.htm,Land Rover Range Rover Velar 2.0 i4 S 240 Cv,28.000 €,01/2019,29000 Km,Diesel,Automatico,Euro 6,SUV/Fuoristrada,"Auto in perfette condizioni
Km 129.000
No incidenti no riparazioni
No problemi motore perché già sostituito in garanzia con il nuovo a km 30.000
Regolazione assetto e altezza veicolo
Gomme nuove Pirelli
Cambio con palette al volante 
Sempre tagliandata concessionari ufficiali Rover come da libretto manutenzioni
Auto privata"
